seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,21,10,20,740,935,968,956,953,952,982,985,946,3515,15,15,745,735,1,1
1,44,10,20,740,980,980,977,971,980,1000,997,984,3512,12,-3,742,738,1,1
2,74,10,20,740,1000,1000,1000,1000,1000,1000,1000,1000,3500,0,0,740,740,1,1
3,94,10,20,740,882,875,883,973,960,961,962,955,3578,78,78,770,710,1,1
4,124,10,20,740,68,82,95,861,958,221,87,62,3686,186,20,784,696,1,0
5,144,10,20,740,106,89,106,900,967,204,91,93,3416,-84,-392,655,825,1,0
6,173,10,20,740,45,41,67,922,970,131,58,58,3608,108,-16,761,719,1,0
7,193,10,20,740,222,54,78,933,949,92,58,89,3134,-366,171,689,791,1,0
8,213,10,20,740,51,60,88,922,970,105,91,46,3590,90,90,775,705,1,0
9,234,10,20,740,27,41,57,934,952,90,61,40,3504,4,-2,740,740,1,0
10,254,10,20,740,29,47,69,898,931,79,58,31,3509,9,7,743,737,1,0
11,274,10,20,740,41,66,73,915,934,86,44,17,3505,5,-2,740,740,1,0
12,294,10,20,740,45,41,59,900,950,81,49,15,3513,13,0,742,738,1,0
13,314,10,20,740,51,82,85,893,931,101,44,33,3588,88,82,773,707,1,0
14,334,10,20,740,56,101,80,904,932,122,68,15,3473,-27,-34,729,751,1,0
15,354,10,20,740,58,79,83,909,936,94,61,38,3507,7,2,741,739,1,0
16,374,10,20,740,35,85,80,903,938,77,80,31,3509,9,-100,725,755,1,0
17,394,10,20,740,72,79,73,920,927,77,61,26,3501,1,-4,740,740,1,0
18,414,10,20,740,64,79,88,936,921,55,47,15,3495,-5,-5,739,741,1,0
19,444,10,20,740,29,89,172,930,909,55,51,2,3366,-134,-54,702,778,1,0
20,464,10,20,740,39,79,618,911,798,40,56,11,3077,-423,-195,614,866,1,0
21,484,10,20,740,39,108,909,933,375,30,58,17,2677,-823,-134,537,943,1,0
22,504,10,20,740,53,108,937,915,125,27,68,31,2506,-994,-51,513,967,1,0
23,524,10,20,740,60,156,966,931,79,75,89,78,2377,-1123,-27,489,991,1,0
