wall_time,seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count,last_packet_age_ms
2026-07-10T04:30:26.936,34,795,10,20,920,380,963,1000,1000,986,151,45,113,2493,-1007,27,393,1000,1,0,0,0,0
2026-07-10T04:30:26.964,35,816,10,20,920,402,978,1000,1000,989,274,101,230,2718,-782,117,534,1000,1,0,0,0,0
2026-07-10T04:30:26.985,36,848,10,20,810,498,972,947,936,329,86,40,100,2033,-1467,-390,-61,1000,1,0,0,0,0
2026-07-10T04:30:27.016,37,875,10,20,810,507,942,927,905,69,92,15,70,1679,-1821,-10,-120,1000,1,0,0,0,0
2026-07-10T04:30:27.058,38,899,10,20,810,99,927,991,949,135,21,0,63,2097,-1403,258,129,1000,1,0,0,0,0
2026-07-10T04:30:27.075,39,925,10,20,920,133,106,919,936,763,61,70,56,2731,-769,232,569,1000,1,0,0,0,0
2026-07-10T04:30:27.103,40,945,10,20,920,154,90,501,959,920,101,121,93,3189,-311,259,818,1000,1,0,0,0,0
2026-07-10T04:30:27.111,41,966,10,20,920,164,121,188,941,951,123,121,100,3383,-117,283,925,915,1,0,0,0,0
2026-07-10T04:30:27.186,42,1005,10,20,920,114,133,132,959,954,83,60,50,3093,-407,-58,691,1000,1,0,0,0,0
2026-07-10T04:30:27.190,43,1025,10,20,920,71,106,108,926,951,18,121,86,3449,-51,185,937,903,1,0,0,0,0
2026-07-10T04:30:27.251,44,1045,10,20,920,89,130,132,918,892,40,55,10,3241,-259,-161,745,1000,1,0,0,0,0
2026-07-10T04:30:27.251,45,1066,10,20,920,18,39,252,910,923,27,60,0,3321,-179,49,837,1000,1,0,0,0,0
2026-07-10T04:30:27.251,46,1095,10,20,920,102,54,501,926,885,98,45,117,3215,-285,117,798,1000,1,0,0,0,0
2026-07-10T04:30:27.251,47,1116,10,20,920,185,160,656,964,892,104,85,120,3015,-485,173,705,1000,1,0,0,0,0
2026-07-10T04:30:27.297,48,1145,10,20,920,136,96,512,989,916,77,70,70,2998,-502,30,662,1000,1,0,0,0,0
2026-07-10T04:30:27.300,49,1165,10,20,920,86,42,277,928,934,49,45,43,3307,-193,93,841,999,1,0,0,0,0
