wall_time,seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count,last_packet_age_ms
2026-07-10T04:13:52.943,38,896,10,20,920,130,399,966,979,510,60,20,73,2449,-1051,-161,325,1000,1,0,0,0,0
2026-07-10T04:13:52.943,39,925,10,20,920,112,222,977,981,276,105,66,56,2524,-976,36,412,1000,1,0,0,0,0
2026-07-10T04:13:52.992,40,945,10,20,920,127,140,966,953,255,78,122,40,2607,-893,88,468,1000,1,0,0,0,0
2026-07-10T04:13:52.992,41,965,10,20,920,133,140,952,971,304,126,71,56,2590,-910,-369,350,1000,1,0,0,0,0
2026-07-10T04:13:53.023,42,985,10,20,920,146,161,988,1000,542,138,117,110,2956,-544,342,714,1000,1,0,0,0,0
2026-07-10T04:13:53.023,43,1006,10,20,920,130,115,880,955,797,120,86,80,2845,-655,-111,547,1000,1,0,0,0,0
2026-07-10T04:13:53.047,44,1027,10,20,920,96,115,792,968,858,102,40,80,3014,-486,209,713,1000,1,0,0,0,0
2026-07-10T04:13:53.078,45,1056,10,20,920,90,100,551,935,911,72,91,96,3064,-436,-237,633,1000,1,0,0,0,0
2026-07-10T04:13:53.125,46,1076,10,20,920,40,39,479,898,918,51,35,0,3191,-309,247,816,1000,1,0,0,0,0
2026-07-10T04:13:53.125,47,1096,10,20,920,130,82,440,937,921,126,91,86,3134,-366,-155,689,1000,1,0,0,0,0
2026-07-10T04:13:53.142,48,1116,10,20,920,124,76,293,935,996,108,61,96,3222,-278,-311,699,1000,1,0,0,0,0
2026-07-10T04:13:53.172,49,1137,10,20,920,149,134,252,971,996,87,76,56,3011,-489,-257,600,1000,1,0,0,0,0
2026-07-10T04:13:53.187,50,1166,10,20,920,124,91,130,974,1000,141,112,106,3595,95,210,1000,820,1,0,0,0,0
2026-07-10T04:13:53.213,51,1186,10,20,920,28,30,66,917,968,72,61,30,3513,13,132,958,882,1,0,0,0,0
2026-07-10T04:13:53.223,52,1206,10,20,920,193,60,58,911,911,87,86,23,3164,-336,-89,721,1000,1,0,0,0,0
2026-07-10T04:13:53.263,53,1227,10,20,920,233,91,80,904,957,51,56,53,3123,-377,-263,658,1000,1,0,0,0,0
2026-07-10T04:13:53.272,54,1256,10,20,920,71,79,102,909,946,81,76,56,3431,-69,-8,882,958,1,0,0,0,0
2026-07-10T04:13:53.313,55,1276,10,20,920,87,70,116,914,1000,132,86,83,3530,30,232,991,849,1,0,0,0,0
2026-07-10T04:13:53.314,56,1296,10,20,920,84,73,80,945,957,145,81,10,3609,109,364,1000,775,1,0,0,0,0
2026-07-10T04:13:53.356,57,1317,10,20,920,109,97,96,950,1000,111,51,96,3412,-88,-170,833,1000,1,0,0,0,0
2026-07-10T04:13:53.372,58,1346,10,20,920,124,152,138,948,1000,117,117,63,3296,-204,-209,762,1000,1,0,0,0,0
2026-07-10T04:13:53.405,59,1367,10,20,920,74,94,83,911,985,69,45,13,3519,19,247,989,851,1,0,0,0,0
2026-07-10T04:13:53.417,60,1396,10,20,920,31,88,74,911,943,75,91,83,3508,8,97,947,893,1,0,0,0,0
2026-07-10T04:13:53.452,61,1416,10,20,920,15,9,47,904,932,57,15,50,3507,7,5,924,916,1,0,0,0,0
2026-07-10T04:13:53.452,62,1436,10,20,920,77,79,72,930,957,138,91,93,3608,108,-266,914,926,1,0,0,0,0
2026-07-10T04:13:53.502,63,1457,10,20,920,115,94,146,971,985,154,76,93,3338,-162,-261,772,1000,1,0,0,0,0
2026-07-10T04:13:53.507,64,1487,10,20,920,99,94,88,943,957,126,45,60,3596,96,142,1000,836,1,0,0,0,0
2026-07-10T04:13:53.556,65,1516,10,20,920,143,137,180,984,1000,211,137,146,3522,22,-52,920,920,1,0,0,0,0
2026-07-10T04:13:53.556,66,1537,10,20,920,74,103,91,896,914,84,61,40,3370,-130,-125,822,1000,1,0,0,0,0
2026-07-10T04:13:53.582,67,1566,10,20,920,109,112,163,966,957,108,132,113,3491,-9,-67,900,940,1,0,0,0,0
2026-07-10T04:13:53.602,68,1586,10,20,920,34,82,229,932,897,99,61,43,3324,-176,-340,746,1000,1,0,0,0,0
2026-07-10T04:13:53.642,69,1606,10,20,920,71,82,404,888,882,57,81,56,3219,-281,-80,752,1000,1,0,0,0,0
2026-07-10T04:13:53.642,70,1627,10,20,920,71,109,559,940,826,75,51,50,3020,-480,-136,633,1000,1,0,0,0,0
2026-07-10T04:13:53.692,71,1656,10,20,920,43,76,324,924,882,66,76,66,3261,-239,69,810,1000,1,0,0,0,0
2026-07-10T04:13:53.697,72,1677,10,20,920,15,24,49,886,900,39,25,36,3503,3,90,943,897,1,0,0,0,0
2026-07-10T04:13:53.734,73,1698,10,20,920,0,0,2,891,897,0,0,0,3501,1,-12,918,922,1,0,0,0,0
2026-07-10T04:13:53.747,74,1727,10,20,920,3,42,0,854,950,123,35,26,3620,120,119,1000,828,1,0,0,0,0
2026-07-10T04:13:53.779,75,1748,10,20,920,59,45,19,740,911,682,20,13,3975,475,153,1000,632,1,0,0,0,0
2026-07-10T04:13:53.827,76,1777,10,20,920,46,3,0,77,907,891,5,3,4495,995,216,1000,341,1,0,0,0,0
2026-07-10T04:13:53.827,77,1797,10,20,920,6,0,0,38,868,854,96,16,4495,995,-2,1000,394,1,0,0,0,0
2026-07-10T04:13:53.835,78,1817,10,20,920,49,3,0,0,907,891,96,0,4495,995,-82,1000,413,1,0,0,0,0
2026-07-10T04:13:53.875,79,1838,10,20,920,49,85,0,147,868,858,66,23,4379,879,-113,1000,482,1,0,0,0,0
2026-07-10T04:13:53.887,80,1868,10,20,920,80,42,0,756,918,743,51,73,3994,494,-121,1000,688,1,0,0,0,0
2026-07-10T04:13:53.924,81,1897,10,20,920,109,100,94,922,946,474,91,163,3743,243,-90,1000,813,1,0,0,0,0
2026-07-10T04:13:53.933,82,1917,10,20,920,59,64,66,906,992,471,0,63,3816,316,1,1000,753,1,0,0,0,0
2026-07-10T04:13:53.975,83,1937,10,20,920,124,88,102,873,950,688,30,96,3676,176,-176,971,869,1,0,0,0,0
2026-07-10T04:13:53.977,84,1957,10,20,920,221,243,268,873,1000,987,137,186,3692,192,27,1000,812,1,0,0,0,0
2026-07-10T04:13:54.016,85,1978,10,20,920,242,192,235,489,1000,1000,198,260,3909,409,145,1000,669,1,0,0,0,0
2026-07-10T04:13:54.032,86,2011,10,20,810,6,54,0,28,943,945,857,53,4968,1468,864,1000,-120,1,0,0,0,0
2026-07-10T04:13:54.073,87,2038,10,20,810,0,30,41,18,695,918,979,96,5109,1609,-72,1000,-25,1,0,0,0,0
2026-07-10T04:13:54.077,88,2058,10,20,810,56,45,13,56,758,900,994,66,5088,1588,-41,1000,-21,1,0,0,0,0
2026-07-10T04:13:54.109,89,2078,10,20,810,0,0,52,2,985,894,816,43,4937,1437,-92,1000,71,1,0,0,0,0
2026-07-10T04:13:54.117,90,2098,10,20,920,56,70,55,432,975,933,81,40,4214,714,-420,1000,643,1,0,0,0,0
2026-07-10T04:13:54.148,91,2118,10,20,920,40,82,72,909,953,262,30,33,3695,195,-274,957,883,1,0,0,0,0
2026-07-10T04:13:54.162,92,2138,10,20,920,149,100,199,963,968,154,96,66,3169,-331,-332,665,1000,1,0,0,0,0
2026-07-10T04:13:54.218,93,2158,10,20,920,80,100,113,976,943,169,66,66,3420,-80,112,905,935,1,0,0,0,0
2026-07-10T04:13:54.218,94,2179,10,20,920,43,39,49,924,950,643,40,143,4055,555,337,1000,545,1,0,0,0,0
2026-07-10T04:13:54.245,95,2208,10,20,920,18,24,38,173,936,963,209,103,4636,1136,475,1000,204,1,0,0,0,0
2026-07-10T04:13:54.245,96,2231,10,20,810,0,0,0,31,904,879,750,76,4939,1439,14,1000,44,1,0,0,0,0
2026-07-10T04:13:54.297,97,2262,10,20,810,6,27,38,95,953,960,535,126,4935,1435,-137,1000,83,1,0,0,0,0
2026-07-10T04:13:54.307,98,2290,10,20,920,40,85,85,911,1000,842,91,126,4107,607,76,1000,581,1,0,0,0,0
2026-07-10T04:13:54.342,99,2311,10,20,920,283,173,240,1000,1000,652,188,256,3647,147,-95,975,865,1,0,0,0,0
