wall_time,telemetry_version,seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,run_state,run_state_name,actual_section_id,active_profile_id,active_profile_key,last_cmd_seq,last_cmd_type,last_cmd_type_name,last_cmd_status,last_cmd_status_name,pc_section_id,pc_section_label,pc_profile_key,section_mismatch,packet_loss_count,bad_packet_count,last_packet_age_ms
2026-07-10T05:53:02.935,2,1,57,10,20,1000,874,666,1000,1000,1000,905,797,993,3583,83,74,1000,942,1,1,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:02.945,2,2,77,10,20,1000,1000,783,1000,1000,1000,917,606,823,3333,-167,13,915,1000,1,1,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:02.964,2,3,98,10,20,1000,1000,876,1000,1000,1000,988,707,906,3397,-103,24,951,1000,1,1,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.010,2,4,127,10,20,1000,1000,840,1000,1000,1000,955,666,856,3362,-138,-32,921,1000,1,1,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.037,2,5,147,10,20,1000,932,681,1000,1000,1000,801,520,683,3262,-238,-52,864,1000,1,0,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.042,2,6,168,10,20,1000,428,327,1000,1000,625,363,196,326,3071,-429,-131,747,1000,1,0,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.063,2,7,198,10,20,1000,100,60,743,932,564,56,20,43,2795,-705,-57,615,1000,1,0,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.094,2,8,218,10,20,1000,125,111,591,950,838,112,55,83,2953,-547,-181,674,1000,1,0,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.104,2,9,238,10,20,1000,55,81,253,932,913,91,60,43,3314,-186,101,922,1000,1,0,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
2026-07-10T05:53:03.141,2,10,268,10,20,1000,73,81,114,945,949,127,30,33,3510,10,340,1000,927,1,0,1,RUN,0,2,WIDE_S,0,0,0,0,OK,0,시작구간,WIDE_S,0,0,0,0
