wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T05:02:37.122,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,38,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3742,152,810,1499,-2001,-84,-120,1000,1,0,3,0
2026-07-10T05:02:43.663,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,51,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,10286,414,1000,2047,-1453,-472,180,1000,1,0,17,0
2026-07-10T05:02:47.277,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,97,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13720,553,680,2031,-1469,94,-129,1000,1,0,27,0
2026-07-10T05:02:48.888,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,66,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15402,620,1000,3548,48,339,1000,909,1,0,34,0
2026-07-10T05:02:57.864,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,54,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,24475,988,920,4767,1267,30,1000,242,1,0,46,0
2026-07-10T05:03:07.845,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,70,5,좁은 S자,NARROW_S,6,헤어핀 진입 준비구간,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,34417,1394,760,3217,-283,-55,583,937,1,0,50,0
2026-07-10T05:03:09.714,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,63,6,헤어핀 진입 준비구간,HAIRPIN_U,7,헤어핀,HAIRPIN_U,7,6,4,HAIRPIN_U,6,5,0,36330,1472,620,3611,111,101,723,517,1,0,51,0
2026-07-10T05:03:10.303,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,42,7,헤어핀,HAIRPIN_U,8,중간 직진구간,STRAIGHT,8,7,4,HAIRPIN_U,7,5,0,36931,1497,620,3289,-211,-209,419,821,1,0,52,0
2026-07-10T05:03:14.558,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,41,8,중간 직진구간,STRAIGHT,9,완만한 U턴,WIDE_U,9,8,1,STRAIGHT,8,5,0,41185,1664,1000,3267,-233,-43,875,1000,1,0,57,0
2026-07-10T05:03:16.055,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,50,9,완만한 U턴,WIDE_U,10,짧은 직진,STRAIGHT,10,9,5,WIDE_U,9,5,0,42650,1723,800,3486,-14,-24,786,814,1,0,58,0
2026-07-10T05:03:19.763,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,85,10,짧은 직진,STRAIGHT,11,좁은 S자 절반,NARROW_S,11,10,1,STRAIGHT,10,5,0,46350,1870,1000,3594,94,88,1000,936,1,0,60,0
2026-07-10T05:03:21.831,NEXT_SECTION,12,5,NEXT_SECTION,TIMEOUT,TIMEOUT,461,11,좁은 S자 절반,NARROW_S,12,Finish 전 짧은 직진,STRAIGHT,12,11,3,NARROW_S,11,5,0,48026,1939,760,2387,-1113,279,210,1000,1,0,65,0
