wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T05:53:06.438,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,10,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3493,141,1000,2624,-876,-267,483,1000,1,0,1,0
2026-07-10T05:53:12.813,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,29,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,9904,396,1000,3488,-12,-4,993,1000,1,0,5,0
2026-07-10T05:53:16.659,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,53,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13712,550,960,1426,-2074,323,10,1000,1,0,9,0
2026-07-10T05:53:18.443,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,57,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15475,620,1000,3488,-12,-112,971,1000,1,0,11,0
2026-07-10T05:53:26.925,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,54,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,23968,966,980,6315,2815,27,1000,80,1,0,16,0
2026-07-10T05:53:37.057,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,20,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,34166,1382,1000,3333,-167,-185,873,1000,1,0,27,0
2026-07-10T05:53:38.053,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,16,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,35146,1422,1000,3693,193,132,1000,865,1,0,29,0
2026-07-10T05:53:42.955,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,45,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,40018,1616,1000,3494,-6,138,1000,976,1,0,32,0
2026-07-10T05:53:44.310,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,73,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,41373,1672,1000,3203,-297,-287,783,1000,1,0,34,0
2026-07-10T05:53:48.086,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,55,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,45153,1824,1000,3501,1,13,1000,997,1,0,37,0
2026-07-10T05:53:49.764,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,54,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,46834,1893,1000,1781,-1719,477,168,1000,1,0,38,0
