wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T06:01:32.824,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,49,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3806,153,980,850,-2650,383,80,1000,1,0,2,0
2026-07-10T06:01:39.343,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,47,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,10318,411,1000,3381,-119,29,941,1000,1,0,28,0
2026-07-10T06:01:42.947,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,62,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13894,554,1000,2033,-1467,252,259,1000,1,0,30,0
2026-07-10T06:01:44.599,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,95,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15510,618,1000,3591,91,91,1000,932,1,0,31,0
2026-07-10T06:01:53.523,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,47,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,24509,984,1000,4127,627,-3,1000,669,1,0,51,0
2026-07-10T06:02:03.135,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,50,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,34063,1371,1000,3487,-13,-151,963,1000,1,0,59,0
2026-07-10T06:02:04.209,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,38,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,35172,1415,1000,4105,605,36,1000,660,1,0,59,0
2026-07-10T06:02:09.093,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,45,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,40074,1609,1000,3495,-5,4,999,1000,1,0,69,0
2026-07-10T06:02:10.597,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,37,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,41553,1670,1000,3494,-6,-15,994,1000,1,0,73,0
2026-07-10T06:02:14.708,NEXT_SECTION,10,5,NEXT_SECTION,TIMEOUT,TIMEOUT,461,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,45268,1817,1000,3494,-6,-4,996,1000,1,0,76,0
2026-07-10T06:02:15.995,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,45,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,46949,1886,960,1223,-2277,391,10,1000,1,0,78,0
