wall_time,event_type,old_section_id,new_section_id,section_display_no,section_name,section_label_ko,section_type,profile_key,section_role,section_note,profile_label_ko,profile_base_speed,profile_curve_speed,profile_sharp_curve_speed,profile_min_run_speed,profile_kp,profile_kd,profile_max_correction,profile_reverse_allow,profile_reverse_pwm_mid,profile_reverse_pwm_high,profile_error_curve_threshold,profile_error_sharp_threshold,profile_d_error_curve_threshold,profile_d_error_sharp_threshold,profile_search_pwm,profile_line_loss_max_ms,cmd_seq,ack,status,rtt_ms,seq,t_ms,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count
2026-07-10T04:30:29.971,NEXT_SECTION,0,1,2,long_straight,긴 직진 구간,STRAIGHT,STRAIGHT,NORMAL,가장 높은 속도를 시도할 수 있는 긴 직진 구간.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,1,1,OK,38,162,3793,920,2690,-810,-70,474,1000,1,0,2
2026-07-10T04:30:36.502,NEXT_SECTION,1,2,3,short_s_1,짧은 S자,NARROW_S,NARROW_S,NORMAL,길이가 짧으므로 보수적으로 좁은 S자 profile 적용.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,2,1,OK,57,451,10291,1000,3493,-7,-12,995,1000,1,0,7
2026-07-10T04:30:41.312,NEXT_SECTION,2,3,4,short_straight_1,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,직전 S자 이후 자세 안정 확인.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,3,0,TIMEOUT,,616,14072,760,3281,-219,-244,562,958,1,0,18
2026-07-10T04:30:41.955,NEXT_SECTION,2,3,4,short_straight_1,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,직전 S자 이후 자세 안정 확인.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,4,1,OK,108,687,15673,1000,3804,304,66,1000,835,1,0,28
2026-07-10T04:30:50.359,NEXT_SECTION,3,4,5,wide_s_1,넓은 S자,WIDE_S,WIDE_S,NORMAL,직진보다 감속하고 진동 억제.,넓은 S자,920,810,670,500,0.53,0.24,1050,True,-120,-260,1350,2350,900,1600,280,240,5,1,OK,73,1050,24135,920,3425,-75,-53,868,972,1,0,37
2026-07-10T04:31:01.224,NEXT_SECTION,4,5,6,narrow_s_1,좁은 S자,NARROW_S,NARROW_S,NORMAL,완주 안정성 우선.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,6,1,OK,62,1522,35016,760,3489,-11,-138,713,807,1,0,52
2026-07-10T04:31:01.452,NEXT_SECTION,5,6,7,hairpin_approach,헤어핀 진입 준비구간,HAIRPIN_U,HAIRPIN_U,HAIRPIN_APPROACH,좁은 S자 직후 헤어핀 전 짧은 공간. 헤어핀 진입 전에 미리 감속하기 위한 구간.,헤어핀,620,560,500,430,0.62,0.34,1200,True,-300,-460,1000,1900,650,1250,320,320,7,1,OK,65,1531,35228,620,3931,431,-11,883,357,1,0,52
2026-07-10T04:31:03.065,NEXT_SECTION,6,7,8,hairpin_u_1,헤어핀,HAIRPIN_U,HAIRPIN_U,NORMAL,큰 감속과 강한 조향 필요.,헤어핀,620,560,500,430,0.62,0.34,1200,True,-300,-460,1000,1900,650,1250,320,320,8,1,OK,23,1599,36831,620,3753,253,247,860,380,1,0,54
2026-07-10T04:31:07.655,NEXT_SECTION,7,8,9,middle_straight,중간 직진구간,STRAIGHT,STRAIGHT,NORMAL,헤어핀 탈출 후 자세가 안정되면 가속.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,9,1,OK,31,1807,41437,1000,3700,200,207,1000,859,1,0,62
2026-07-10T04:31:08.975,NEXT_SECTION,8,9,10,wide_u_1,완만한 U턴,WIDE_U,WIDE_U,NORMAL,진입 감속 필요.,완만한 U턴,800,700,600,480,0.55,0.27,1100,True,-180,-320,1250,2250,850,1500,290,260,10,1,OK,62,1865,42762,800,3293,-207,75,707,893,1,0,62
2026-07-10T04:31:12.649,NEXT_SECTION,9,10,11,short_straight_2,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,다음 좁은 S자 진입 전 과속 주의.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,11,1,OK,53,2026,46448,1000,3400,-100,38,958,1000,1,0,65
2026-07-10T04:31:14.428,NEXT_SECTION,10,11,12,half_narrow_s,좁은 S자 절반,NARROW_S,NARROW_S,NORMAL,짧지만 라인 이탈 위험이 있음.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,12,1,OK,21,2098,48149,680,1987,-1513,162,-133,1000,1,0,69
