wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T05:16:28.269,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,63,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,4117,165,920,3494,-6,16,920,920,1,0,1,0
2026-07-10T05:16:34.242,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,10,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,10207,408,1000,3362,-138,2,932,1000,1,0,2,0
2026-07-10T05:16:38.132,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,47,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,14049,562,760,3182,-318,153,625,895,1,0,5,0
2026-07-10T05:16:39.617,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,70,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15493,619,1000,3889,389,333,1000,739,1,0,5,0
2026-07-10T05:16:48.075,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,12,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,24007,967,920,3507,7,90,945,895,1,0,8,0
2026-07-10T05:16:58.325,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,43,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,34250,1383,760,3038,-462,11,500,1000,1,0,14,0
2026-07-10T05:17:01.082,NEXT_SECTION,7,5,NEXT_SECTION,TIMEOUT,TIMEOUT,469,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,36577,1478,620,3498,-2,-5,618,622,1,0,14,0
2026-07-10T05:17:05.288,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,14,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,41239,1661,1000,3623,123,21,1000,935,1,0,16,0
2026-07-10T05:17:07.950,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,44,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,43842,1768,800,3881,381,-196,956,644,1,0,21,0
2026-07-10T05:17:10.622,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,45,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,46537,1873,1000,3503,3,11,1000,997,1,0,22,0
2026-07-10T05:17:12.498,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,45,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,48421,1949,760,3209,-291,-26,587,933,1,0,25,0
