wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T05:34:10.126,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,78,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3668,146,940,999,-2501,-208,-60,1000,1,0,7,0
2026-07-10T05:34:16.733,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,126,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,3,4,0,10192,407,1000,3370,-130,-110,905,1000,1,0,24,0
2026-07-10T05:34:20.320,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,86,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,4,5,0,13843,556,980,2800,-700,34,603,1000,1,0,35,0
2026-07-10T05:34:21.888,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,65,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,5,5,0,15426,619,1000,3602,102,-151,1000,978,1,0,38,0
2026-07-10T05:34:30.493,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,62,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,6,5,0,24009,968,940,5314,1814,-211,1000,-11,1,0,41,0
2026-07-10T05:34:40.335,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,36,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,7,5,0,33918,1370,980,3491,-9,0,976,984,1,0,48,0
2026-07-10T05:34:42.588,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,38,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,8,5,0,36158,1461,950,2732,-768,-135,498,1000,1,0,50,0
2026-07-10T05:34:46.450,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,19,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,9,5,0,40047,1615,1000,3499,-1,-8,998,1000,1,0,63,0
2026-07-10T05:34:48.022,NEXT_SECTION,11,5,NEXT_SECTION,TIMEOUT,TIMEOUT,457,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,10,5,0,41170,1660,970,2975,-525,-33,674,1000,1,0,73,0
2026-07-10T05:34:51.328,NEXT_SECTION,12,5,NEXT_SECTION,0,OK,44,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,11,5,0,44898,1808,1000,3498,-2,-6,998,1000,1,0,77,0
2026-07-10T05:34:53.155,NEXT_SECTION,13,5,NEXT_SECTION,0,OK,54,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,12,5,0,46680,1881,980,2644,-856,517,623,1000,1,0,79,0
