wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T05:47:18.476,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,34,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3727,150,1000,3085,-415,12,775,1000,1,0,25,0
2026-07-10T05:47:25.082,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,133,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,10219,409,1000,3492,-8,3,997,1000,1,0,30,0
2026-07-10T05:47:30.392,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,51,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,15634,628,980,3235,-265,-132,806,1000,1,0,31,0
2026-07-10T05:47:39.205,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,21,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,24454,979,1000,4158,658,-91,1000,659,1,0,50,0
2026-07-10T05:47:48.949,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,36,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,34203,1376,1000,3349,-151,7,919,1000,1,0,53,0
2026-07-10T05:47:50.212,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,36,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,35464,1427,980,3759,259,264,1000,780,1,0,53,0
2026-07-10T05:47:55.166,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,21,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,40359,1626,950,3137,-363,-142,720,1000,1,0,55,0
2026-07-10T05:47:56.406,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,39,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,41661,1678,1000,2970,-530,-62,695,1000,1,0,55,0
2026-07-10T05:48:00.288,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,62,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,45492,1836,970,3494,-6,11,970,970,1,0,56,0
2026-07-10T05:48:02.399,NEXT_SECTION,10,5,NEXT_SECTION,TIMEOUT,TIMEOUT,488,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,47116,1900,980,1220,-2280,-528,30,1000,1,0,74,0
