wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count,profile_set,profile_version,profile_source_key,profile_label_ko,profile_base_speed,profile_curve_speed,profile_sharp_curve_speed,profile_min_run_speed,profile_kp,profile_kd,profile_max_correction,profile_reverse_allow,profile_reverse_pwm_mid,profile_reverse_pwm_high,profile_error_curve_threshold,profile_error_sharp_threshold,profile_d_error_curve_threshold,profile_d_error_sharp_threshold,profile_search_pwm,profile_line_loss_max_ms
2026-07-10T09:42:54.116,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,93,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3719,150,1000,683,-2817,-101,220,1000,1,0,4,0,ATTACK_V6_RECOVERY,11,WIDE_S,넓은 S자,1000,1000,940,600,0.42,0.1,780,True,0,-80,2200,3400,1700,2600,280,240
2026-07-10T09:43:00.270,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,30,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,9929,398,1000,3497,-3,3,1000,1000,1,0,22,0,ATTACK_V6_RECOVERY,11,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T09:43:04.245,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,40,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13886,556,1000,2622,-878,35,601,1000,1,0,22,0,ATTACK_V6_RECOVERY,11,NARROW_S,좁은 S자,1000,970,880,560,0.46,0.12,920,True,-60,-180,1650,2700,1250,2100,300,280
2026-07-10T09:43:05.463,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,41,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15117,603,1000,3415,-85,-267,947,1000,1,0,23,0,ATTACK_V6_RECOVERY,11,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T09:43:13.815,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,39,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,23459,947,1000,3545,45,17,1000,980,1,0,35,0,ATTACK_V6_RECOVERY,11,WIDE_S,넓은 S자,1000,1000,940,600,0.42,0.1,780,True,0,-80,2200,3400,1700,2600,280,240
2026-07-10T09:43:24.209,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,81,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,33806,1365,1000,3444,-56,-30,971,1000,1,0,56,0,ATTACK_V6_RECOVERY,11,NARROW_S,좁은 S자,1000,970,880,560,0.46,0.12,920,True,-60,-180,1650,2700,1250,2100,300,280
2026-07-10T09:43:25.446,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,76,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,35033,1415,1000,3813,313,-152,1000,872,1,0,56,0,ATTACK_V6_RECOVERY,11,HAIRPIN_U,헤어핀,1000,970,880,560,0.47,0.12,920,True,-80,-220,1750,3000,1300,2200,320,320
2026-07-10T09:43:29.953,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,47,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,39582,1597,1000,3514,14,27,1000,993,1,0,60,0,ATTACK_V6_RECOVERY,11,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T09:43:31.258,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,110,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,40704,1643,940,1896,-1604,51,146,1000,1,0,64,0,ATTACK_V6_RECOVERY,11,WIDE_U,완만한 U턴,1000,940,820,530,0.5,0.14,980,True,-120,-260,1350,2300,950,1700,360,700
2026-07-10T09:43:34.844,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,13,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,44519,1794,1000,3625,125,-2,1000,953,1,0,78,0,ATTACK_V6_RECOVERY,11,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T09:43:36.957,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,96,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,46550,1877,1000,3044,-456,-36,786,1000,1,0,80,0,ATTACK_V6_RECOVERY,11,NARROW_S,좁은 S자,1000,970,880,560,0.46,0.12,920,True,-60,-180,1650,2700,1250,2100,300,280
