seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
11,263,10,20,1000,118,71,81,893,967,452,25,20,3624,124,-233,1000,984,1,0
12,292,10,20,1000,109,95,125,1000,1000,281,105,47,3543,43,-131,995,1000,1,0
13,312,10,20,1000,45,59,62,978,957,111,45,10,3576,76,218,1000,911,1,0
14,332,10,20,1000,88,74,101,994,957,117,40,0,3502,2,144,1000,968,1,0
15,352,10,20,1000,100,83,60,981,960,117,15,17,3414,-86,-42,944,1000,1,0
16,373,10,20,1000,152,134,147,1000,960,207,50,54,3193,-307,-47,821,1000,1,0
17,393,10,20,1000,131,104,153,970,989,151,55,0,3214,-286,-250,788,1000,1,0
18,413,10,20,1000,30,44,60,933,932,148,35,0,3610,110,103,1000,917,1,0
19,433,10,20,1000,143,122,57,944,943,229,65,20,3305,-195,-299,827,1000,1,0
20,453,10,20,1000,45,98,21,962,882,266,45,0,3670,170,145,1000,875,1,0
21,473,10,20,1000,48,59,46,898,932,362,45,20,3755,255,37,1000,852,1,0
22,503,10,20,1000,18,71,38,898,918,362,40,51,3753,253,-23,1000,866,1,0
23,523,10,20,1000,115,47,68,949,925,337,0,27,3539,39,-54,1000,991,1,0
24,543,10,20,1000,79,59,95,957,950,232,0,13,3661,161,-41,1000,921,1,0
25,563,10,20,1000,79,53,112,992,985,179,10,27,3542,42,-80,1000,995,1,0
26,583,10,20,1000,0,53,81,984,957,52,0,0,3493,-7,-92,976,1000,1,0
27,603,10,20,1000,36,80,79,944,960,55,60,0,3504,4,14,1000,995,1,0
28,623,10,20,1000,36,47,92,954,939,49,45,34,3496,-4,-9,996,1000,1,0
29,643,10,20,1000,85,89,855,1000,911,83,80,95,3020,-480,-155,702,1000,1,0
30,663,10,20,1000,118,358,978,984,266,37,60,13,2340,-1160,-387,277,1000,1,0
31,685,10,20,1000,603,970,953,944,103,0,75,10,1712,-1788,-285,-46,1000,1,0
32,712,10,20,1000,896,916,953,207,39,0,0,0,1158,-2342,-61,-301,1000,1,0
33,733,10,20,1000,908,928,907,159,17,15,65,20,1109,-2391,-9,-317,1000,1,0
34,753,10,20,1000,939,946,923,327,88,37,35,0,1203,-2297,65,-249,1000,1,0
35,773,10,20,1000,939,925,928,803,67,30,35,0,1443,-2057,102,-108,1000,1,0
36,793,10,20,1000,932,955,939,944,131,24,60,0,1586,-1914,77,-35,1000,1,0
