seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,speed_avg_cmd,speed_peak_cmd,lap_state,marker_count
8,184,5,20,1000,942,943,941,881,896,879,893,882,3442,-58,0,983,1000,1,1,991,1000,running,1
9,204,5,20,1000,942,943,941,881,896,879,893,882,3442,-58,0,983,1000,1,1,991,1000,running,1
10,224,5,20,1000,942,943,937,881,896,879,893,882,3442,-58,4,984,1000,1,1,992,1000,running,1
11,249,5,20,1000,942,943,937,881,896,879,893,873,3438,-62,4,983,1000,1,1,991,1000,running,1
12,274,5,20,1000,942,943,937,881,896,879,893,882,3442,-58,0,983,1000,1,1,991,1000,running,1
13,294,5,20,1000,942,943,941,881,896,879,893,873,3437,-63,1,982,1000,1,1,991,1000,running,1
14,314,5,20,1000,942,943,941,875,890,872,893,873,3436,-64,-2,981,1000,1,1,990,1000,running,1
15,335,5,20,1000,942,939,937,875,890,872,893,873,3438,-62,0,982,1000,1,1,991,1000,running,1
16,360,5,20,1000,942,943,941,875,896,879,893,873,3438,-62,1,982,1000,1,1,991,1000,running,1
18,405,5,20,1000,942,943,937,881,896,879,893,873,3438,-62,-2,981,1000,1,1,990,1000,running,1
19,430,5,20,1000,942,943,937,875,896,879,893,882,3443,-57,5,984,1000,1,1,992,1000,running,1
20,455,5,20,1000,942,943,937,869,890,872,893,873,3437,-63,1,982,1000,1,1,991,1000,running,1
21,480,5,20,1000,942,939,933,875,890,872,893,873,3438,-62,-3,981,1000,1,1,990,1000,running,1
22,505,5,20,1000,942,939,937,875,890,872,893,873,3438,-62,-4,981,1000,1,1,990,1000,running,1
23,530,5,20,1000,934,939,937,875,890,872,893,873,3441,-59,5,984,1000,1,1,992,1000,running,1
24,550,5,20,1000,942,939,937,875,896,872,893,873,3438,-62,2,982,1000,1,1,991,1000,running,1
25,570,5,20,1000,942,943,937,875,890,872,893,873,3436,-64,0,981,1000,1,1,990,1000,running,1
26,591,5,20,1000,942,943,937,875,890,872,893,864,3432,-68,-4,979,1000,1,1,989,1000,running,1
27,611,5,20,1000,942,939,937,875,890,872,882,882,3438,-62,0,982,1000,1,1,991,1000,running,1
