pc_time,sender,type,loop,drive,speed_state,target,current,compute_ms,max_ms,overrun,error,filtered_error,filtered_rate,confidence,active,wide,curve,kp,kd,p,d,steering,scale,left,right,finished,mode,control_ms,loops,average_compute_ms,max_compute_ms,overrun_count,overrun_rate,line_lost_entry,raw_message
2026-07-08 20:14:00.041,192.168.0.50:49598,boot,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,"type=boot,control_ms=10,max_speed=540,kp_straight=0.200,kd_straight=0.850"
2026-07-08 20:14:09.066,192.168.0.50:49598,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type=start
2026-07-08 20:14:10.117,192.168.0.50:49598,status,98,0,FAST,540,540,20,21,2,121,87.3,-4.2,0.50,2,False,0.034,0.200,0.850,0.0,-3.6,-7,1.000,533,547,,,,,,,,,,"type=status,loop=98,drive=0,speed_state=FAST,target=540,current=540,compute_ms=20,max_ms=21,overrun=2,error=121,filtered_error=87.3,filtered_rate=-4.2,confidence=0.50,active=2,wide=False,curve=0.034,kp=0.200,kd=0.850,p=0.0,d=-3.6,steering=-7,scale=1.000,left=533,right=547"
2026-07-08 20:14:11.088,192.168.0.50:49598,status,197,0,FAST,540,425,20,21,3,-100,-312.0,95.3,0.63,2,False,0.185,0.200,0.850,-44.4,81.0,-89,1.000,304,514,,,,,,,,,,"type=status,loop=197,drive=0,speed_state=FAST,target=540,current=425,compute_ms=20,max_ms=21,overrun=3,error=-100,filtered_error=-312.0,filtered_rate=95.3,confidence=0.63,active=2,wide=False,curve=0.185,kp=0.200,kd=0.850,p=-44.4,d=81.0,steering=-89,scale=1.000,left=304,right=514"
2026-07-08 20:14:12.169,192.168.0.50:49598,status,296,0,FAST,540,540,21,21,5,-276,-253.6,-32.8,0.68,2,False,0.098,0.200,0.850,-32.7,-27.9,-44,1.000,496,584,,,,,,,,,,"type=status,loop=296,drive=0,speed_state=FAST,target=540,current=540,compute_ms=21,max_ms=21,overrun=5,error=-276,filtered_error=-253.6,filtered_rate=-32.8,confidence=0.68,active=2,wide=False,curve=0.098,kp=0.200,kd=0.850,p=-32.7,d=-27.9,steering=-44,scale=1.000,left=496,right=584"
2026-07-08 20:14:13.149,192.168.0.50:49598,status,395,0,FAST,540,330,20,21,6,145,271.5,-116.0,0.57,2,False,0.173,0.200,0.850,36.3,-98.6,30,1.000,360,298,,,,,,,,,,"type=status,loop=395,drive=0,speed_state=FAST,target=540,current=330,compute_ms=20,max_ms=21,overrun=6,error=145,filtered_error=271.5,filtered_rate=-116.0,confidence=0.57,active=2,wide=False,curve=0.173,kp=0.200,kd=0.850,p=36.3,d=-98.6,steering=30,scale=1.000,left=360,right=298"
2026-07-08 20:14:14.306,192.168.0.50:49598,status,494,0,CURVE,420,295,21,21,7,1119,1277.8,-4.6,0.71,3,False,0.379,0.280,0.750,332.6,-3.4,408,1.000,703,0,,,,,,,,,,"type=status,loop=494,drive=0,speed_state=CURVE,target=420,current=295,compute_ms=21,max_ms=21,overrun=7,error=1119,filtered_error=1277.8,filtered_rate=-4.6,confidence=0.71,active=3,wide=False,curve=0.379,kp=0.280,kd=0.750,p=332.6,d=-3.4,steering=408,scale=1.000,left=703,right=0"
2026-07-08 20:14:15.189,192.168.0.50:49598,status,593,0,FAST,540,540,21,21,8,107,120.5,-10.1,0.54,2,False,0.042,0.200,0.850,6.1,-8.6,4,1.000,544,536,,,,,,,,,,"type=status,loop=593,drive=0,speed_state=FAST,target=540,current=540,compute_ms=21,max_ms=21,overrun=8,error=107,filtered_error=120.5,filtered_rate=-10.1,confidence=0.54,active=2,wide=False,curve=0.042,kp=0.200,kd=0.850,p=6.1,d=-8.6,steering=4,scale=1.000,left=544,right=536"
2026-07-08 20:14:16.168,192.168.0.50:49598,status,692,0,SHARP,280,280,21,21,9,-1677,-1912.9,59.9,0.73,3,False,0.603,0.360,0.550,-656.3,32.9,-558,1.000,0,838,,,,,,,,,,"type=status,loop=692,drive=0,speed_state=SHARP,target=280,current=280,compute_ms=21,max_ms=21,overrun=9,error=-1677,filtered_error=-1912.9,filtered_rate=59.9,confidence=0.73,active=3,wide=False,curve=0.603,kp=0.360,kd=0.550,p=-656.3,d=32.9,steering=-558,scale=1.000,left=0,right=838"
2026-07-08 20:14:17.174,192.168.0.50:49598,status,791,0,FAST,540,540,21,21,10,2,-11.5,13.8,0.49,2,False,0.015,0.200,0.850,0.0,11.7,9,1.000,549,531,,,,,,,,,,"type=status,loop=791,drive=0,speed_state=FAST,target=540,current=540,compute_ms=21,max_ms=21,overrun=10,error=2,filtered_error=-11.5,filtered_rate=13.8,confidence=0.49,active=2,wide=False,curve=0.015,kp=0.200,kd=0.850,p=0.0,d=11.7,steering=9,scale=1.000,left=549,right=531"
