pc_time,sender,type,loop,drive,speed_state,target,current,compute_ms,max_ms,overrun,error,filtered_error,filtered_rate,confidence,active,wide,curve,kp,kd,p,d,steering,scale,left,right,finished,mode,control_ms,loops,average_compute_ms,max_compute_ms,overrun_count,overrun_rate,line_lost_entry,telemetry_sent,telemetry_skip,debug_skip,network_slow,raw_message
2026-07-09 10:07:39.311,192.168.0.50:55864,boot,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,"type=boot,telemetry_ok=True,control_ms=10,max_speed=580,kp_straight=0.200,kd_straight=0.650"
2026-07-09 10:07:47.394,192.168.0.50:55864,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type=start
2026-07-09 10:07:48.365,192.168.0.50:55864,status,99,0,FAST,580,580,20,20,1,127,216.5,-2.5,0.55,2,False,0.067,0.200,0.650,23.3,-1.6,30,1.000,610,550,,,,,,,,,,,,,,"type=status,loop=99,drive=0,speed_state=FAST,target=580,current=580,compute_ms=20,max_ms=20,overrun=1,error=127,filtered_error=216.5,filtered_rate=-2.5,confidence=0.55,active=2,wide=False,curve=0.067,kp=0.200,kd=0.650,p=23.3,d=-1.6,steering=30,scale=1.000,left=610,right=550"
2026-07-09 10:07:49.323,192.168.0.50:55864,status,198,0,CURVE,430,415,20,20,2,-738,-532.4,-67.7,0.73,3,False,0.210,0.240,0.550,-103.8,-37.2,-44,1.000,371,459,,,,,,,,,,,,,,"type=status,loop=198,drive=0,speed_state=CURVE,target=430,current=415,compute_ms=20,max_ms=20,overrun=2,error=-738,filtered_error=-532.4,filtered_rate=-67.7,confidence=0.73,active=3,wide=False,curve=0.210,kp=0.240,kd=0.550,p=-103.8,d=-37.2,steering=-44,scale=1.000,left=371,right=459"
2026-07-09 10:07:50.289,192.168.0.50:55864,status,297,0,FAST,580,580,21,21,3,-98,-180.2,-6.9,0.68,2,False,0.061,0.200,0.650,-16.0,-4.5,-20,1.000,560,600,,,,,,,,,,,,,,"type=status,loop=297,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=21,overrun=3,error=-98,filtered_error=-180.2,filtered_rate=-6.9,confidence=0.68,active=2,wide=False,curve=0.061,kp=0.200,kd=0.650,p=-16.0,d=-4.5,steering=-20,scale=1.000,left=560,right=600"
2026-07-09 10:07:51.338,192.168.0.50:55864,status,396,0,FAST,580,500,20,21,4,532,392.7,6.5,0.70,3,False,0.122,0.200,0.650,58.5,4.3,25,1.000,525,475,,,,,,,,,,,,,,"type=status,loop=396,drive=0,speed_state=FAST,target=580,current=500,compute_ms=20,max_ms=21,overrun=4,error=532,filtered_error=392.7,filtered_rate=6.5,confidence=0.70,active=3,wide=False,curve=0.122,kp=0.200,kd=0.650,p=58.5,d=4.3,steering=25,scale=1.000,left=525,right=475"
2026-07-09 10:07:52.902,192.168.0.50:55864,status,495,0,CURVE,430,325,20,21,5,504,678.7,-50.9,0.73,3,False,0.235,0.240,0.550,138.9,-28.0,215,1.000,540,110,,,,,,,,,,,,,,"type=status,loop=495,drive=0,speed_state=CURVE,target=430,current=325,compute_ms=20,max_ms=21,overrun=5,error=504,filtered_error=678.7,filtered_rate=-50.9,confidence=0.73,active=3,wide=False,curve=0.235,kp=0.240,kd=0.550,p=138.9,d=-28.0,steering=215,scale=1.000,left=540,right=110"
2026-07-09 10:07:53.346,192.168.0.50:55864,status,594,0,FAST,580,580,20,21,6,8,21.4,5.6,0.56,2,False,0.012,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=594,drive=0,speed_state=FAST,target=580,current=580,compute_ms=20,max_ms=21,overrun=6,error=8,filtered_error=21.4,filtered_rate=5.6,confidence=0.56,active=2,wide=False,curve=0.012,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 10:07:55.351,192.168.0.50:55864,status,792,0,CURVE,430,430,21,21,8,-463,-628.1,-6.8,0.62,3,False,0.189,0.240,0.550,-126.7,-3.7,-181,1.000,249,611,,,,,,,,,,,,,,"type=status,loop=792,drive=0,speed_state=CURVE,target=430,current=430,compute_ms=21,max_ms=21,overrun=8,error=-463,filtered_error=-628.1,filtered_rate=-6.8,confidence=0.62,active=3,wide=False,curve=0.189,kp=0.240,kd=0.550,p=-126.7,d=-3.7,steering=-181,scale=1.000,left=249,right=611"
2026-07-09 10:07:56.405,192.168.0.50:55864,status,891,0,CURVE,430,430,22,22,9,-882,-823.2,-78.4,0.54,2,False,0.292,0.240,0.550,-173.6,-43.1,-158,1.000,272,588,,,,,,,,,,,,,,"type=status,loop=891,drive=0,speed_state=CURVE,target=430,current=430,compute_ms=22,max_ms=22,overrun=9,error=-882,filtered_error=-823.2,filtered_rate=-78.4,confidence=0.54,active=2,wide=False,curve=0.292,kp=0.240,kd=0.550,p=-173.6,d=-43.1,steering=-158,scale=1.000,left=272,right=588"
