seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,22,10,20,495,920,881,861,870,960,922,939,958,3556,56,6,496,494,1,1
1,42,10,20,545,966,903,866,920,989,1000,954,976,3552,52,5,546,544,1,1
2,62,10,20,595,932,855,817,877,956,935,949,904,3548,48,3,595,595,1,1
3,82,10,20,645,960,867,837,882,956,962,949,893,3526,26,0,645,645,1,1
4,102,10,20,695,868,745,597,870,953,533,489,390,3065,-435,-47,662,728,1,0
5,122,10,20,745,64,39,80,838,913,89,30,41,3521,21,-8,737,753,1,0
6,142,10,20,795,82,104,121,894,949,83,65,47,3299,-201,-16,776,814,1,0
7,162,10,20,845,100,36,92,875,953,126,0,0,3440,-60,8,846,844,1,0
8,182,10,20,895,121,59,84,884,924,179,35,0,3435,-65,-5,885,905,1,0
9,203,10,20,945,140,42,101,884,978,308,45,0,3445,-55,3,942,948,1,0
10,223,10,20,995,228,45,82,862,982,503,0,13,3506,6,14,998,992,1,0
11,243,10,20,850,103,93,109,733,1000,712,70,65,3754,254,48,885,815,1,0
12,263,10,20,850,54,67,72,509,924,858,35,116,4289,789,90,1000,687,1,0
13,283,10,20,730,82,64,72,319,924,941,10,61,4284,784,87,934,526,1,0
14,303,10,20,700,42,31,65,254,949,925,30,27,4315,815,66,906,494,1,0
15,323,10,20,725,73,31,58,403,953,885,60,10,4215,715,34,904,546,1,0
16,344,10,20,775,42,67,58,677,935,663,60,0,3993,493,-5,895,655,1,0
17,373,10,20,850,106,53,87,911,939,138,30,44,3428,-72,-75,837,863,1,0
18,393,10,20,850,109,76,143,879,982,95,70,6,3242,-258,-87,822,878,1,0
19,413,10,20,850,103,53,160,887,967,89,35,20,3235,-265,-71,817,883,1,0
21,453,10,20,950,91,98,322,903,956,104,65,10,3368,-132,-27,933,967,1,0
22,473,10,20,850,100,141,529,911,870,58,55,47,2905,-595,-70,756,944,1,0
23,493,10,20,850,70,90,660,923,706,61,55,44,3020,-480,-52,755,945,1,0
25,543,10,20,850,146,93,682,887,698,98,60,78,2825,-675,-40,694,1000,1,0
