seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
2,64,10,20,1000,1000,1000,1000,1000,1000,1000,1000,1000,3500,0,0,1000,1000,1,1
3,93,10,20,1000,1000,844,1000,1000,1000,1000,622,874,3364,-136,41,935,1000,1,1
4,113,10,20,1000,1000,901,1000,1000,1000,1000,671,933,3392,-108,7,943,1000,1,1
5,133,10,20,1000,1000,895,1000,1000,1000,1000,681,907,3385,-115,-16,934,1000,1,1
6,153,10,20,1000,1000,724,858,1000,1000,1000,553,762,3348,-152,-21,912,1000,1,1
7,173,10,20,1000,540,367,423,1000,1000,965,254,343,3467,-33,64,996,1000,1,0
8,193,10,20,1000,0,28,0,267,891,860,29,0,4293,793,163,1000,528,1,0
9,213,10,20,1000,49,56,60,193,909,969,73,92,4374,874,6,1000,518,1,0
10,234,10,20,1000,9,91,60,435,954,897,63,66,4202,702,-123,1000,641,1,0
11,254,10,20,1000,0,0,0,835,895,315,58,3,3745,245,-227,1000,916,1,0
12,274,10,20,1000,170,132,123,997,989,235,73,161,3429,-71,-173,923,1000,1,0
13,294,10,20,1000,245,189,308,1000,1000,318,122,264,3475,-25,127,1000,986,1,0
14,314,10,20,1000,95,94,193,994,954,148,58,92,3461,-39,0,979,1000,1,0
15,335,10,20,1000,0,0,302,946,923,15,39,62,3286,-214,-36,875,1000,1,0
16,355,10,20,1000,42,9,340,973,944,71,24,46,3267,-233,-10,870,1000,1,0
17,375,10,20,1000,147,60,331,1000,937,157,39,75,3186,-314,-171,790,1000,1,0
18,395,10,20,1000,39,37,172,962,975,123,29,66,3469,-31,-92,963,1000,1,0
19,415,10,20,1000,88,94,170,1000,968,139,34,128,3660,160,171,1000,875,1,0
20,435,10,20,1000,121,75,103,984,989,105,83,122,3503,3,-74,986,1000,1,0
21,456,10,20,1000,13,18,83,931,895,80,58,112,3692,192,199,1000,851,1,0
