seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
2,71,5,20,1000,1000,782,1000,1000,1000,916,661,832,3358,-142,7,924,1000,1,1
3,92,5,20,1000,1000,869,1000,1000,1000,997,739,935,3426,-74,9,962,1000,1,1
4,112,5,20,1000,1000,875,1000,1000,1000,997,719,932,3415,-85,-6,952,1000,1,1
5,136,5,20,1000,1000,722,1000,1000,1000,865,599,771,3311,-189,-31,890,1000,1,1
6,157,5,20,1000,622,437,844,1000,1000,544,381,524,3325,-175,39,913,1000,1,0
7,177,5,20,1000,39,0,430,895,791,32,86,12,3170,-330,7,821,1000,1,0
8,197,5,20,1000,68,6,472,953,862,77,106,118,3469,-31,313,1000,949,1,0
9,217,5,20,1000,0,0,258,916,890,80,101,77,3431,-69,17,966,1000,1,0
10,242,5,20,1000,95,19,183,937,989,68,120,102,3675,175,-36,1000,912,1,0
11,262,5,20,1000,49,15,113,958,890,116,91,109,3661,161,77,1000,895,1,0
12,282,5,20,1000,3,12,69,924,915,62,72,67,3497,-3,3,1000,1000,1,0
13,302,5,20,1000,0,0,66,885,922,44,101,67,3642,142,-14,1000,925,1,0
14,322,5,20,1000,0,28,72,882,925,143,91,77,3621,121,-96,1000,955,1,0
15,346,5,20,1000,0,35,122,882,932,71,115,64,3563,63,-89,1000,985,1,0
16,367,5,20,1000,26,35,194,895,865,62,130,109,3682,182,-30,1000,907,1,0
17,387,5,20,1000,0,6,230,882,840,11,111,45,3457,-43,94,998,1000,1,0
18,407,5,20,1000,0,0,361,830,798,0,62,64,3219,-281,-184,805,1000,1,0
19,427,5,20,1000,0,0,338,815,809,0,62,32,3240,-260,1,858,1000,1,0
20,447,5,20,1000,0,0,288,828,773,0,106,45,3402,-98,137,977,1000,1,0
21,467,5,20,1000,0,0,244,901,848,50,82,96,3303,-197,-167,855,1000,1,0
22,487,5,20,1000,0,0,41,885,893,8,115,54,3653,153,144,1000,885,1,0
23,507,5,20,1000,16,31,13,825,918,32,140,67,3710,210,65,1000,871,1,0
24,531,5,20,1000,36,41,50,924,883,68,125,61,3651,151,13,1000,915,1,0
25,552,5,20,1000,0,0,13,882,886,0,96,54,3501,1,15,1000,997,1,0
26,572,5,20,1000,0,12,50,901,939,5,82,22,3510,10,20,1000,991,1,0
27,592,5,20,1000,81,57,130,950,946,152,125,102,3791,291,90,1000,821,1,0
28,612,5,20,1000,49,19,669,895,862,32,38,9,3079,-421,-120,743,1000,1,0
29,632,5,20,1000,26,111,913,893,74,8,57,25,2407,-1093,-280,338,1000,1,0
