seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
88,1888,5,20,1000,26,78,82,914,972,850,148,166,4239,739,79,1000,600,1,0
89,1908,5,20,1000,0,93,79,683,952,1000,128,143,4344,844,48,1000,552,1,0
90,1928,5,20,1000,46,65,65,249,932,970,158,110,4565,1065,46,1000,437,1,0
92,1968,5,20,1000,3,53,113,207,962,961,173,179,4543,1043,-135,1000,486,1,0
93,2007,5,20,1000,55,112,139,628,959,964,128,156,4144,644,-233,1000,715,1,0
94,2027,5,20,1000,46,75,73,579,955,916,118,110,4337,837,-60,1000,578,1,0
95,2047,5,20,1000,121,109,130,407,979,940,163,146,4075,575,-400,1000,785,1,0
96,2067,5,20,1000,88,65,93,189,918,907,227,146,4674,1174,200,1000,348,1,0
98,2107,5,20,800,0,43,62,2,894,970,524,61,4845,1345,-38,1000,109,1,0
99,2127,5,20,1000,9,0,36,246,938,961,123,175,4608,1108,-101,1000,446,1,0
100,2147,5,20,1000,0,21,65,844,952,946,118,140,4252,752,23,1000,605,1,0
101,2167,5,20,1000,95,121,173,1000,976,802,183,195,4012,512,1,1000,734,1,0
102,2192,5,20,1000,46,65,102,916,1000,874,138,195,4190,690,263,1000,586,1,0
103,2213,5,20,1000,115,103,113,870,983,1000,193,192,4027,527,-267,1000,783,1,0
104,2233,5,20,1000,59,65,96,493,989,1000,198,182,4506,1006,167,1000,442,1,0
106,2278,5,20,800,26,106,51,122,922,916,648,146,4772,1272,-182,1000,177,1,0
107,2303,5,20,1000,6,31,0,363,881,895,138,52,4354,854,-149,1000,588,1,0
108,2323,5,20,1000,0,18,2,867,891,868,113,120,4205,705,47,1000,624,1,0
109,2343,5,20,1000,0,40,0,898,908,820,138,133,4206,706,37,1000,626,1,0
110,2363,5,20,1000,36,28,45,893,908,862,123,127,4204,704,237,1000,585,1,0
111,2383,5,20,1000,72,81,36,810,966,970,178,188,4347,847,162,1000,526,1,0
113,2428,5,20,800,13,0,71,137,938,940,678,127,4900,1400,70,1000,58,1,0
114,2448,5,20,800,39,43,71,101,928,949,871,127,4998,1498,38,1000,14,1,0
115,2468,5,20,800,32,50,28,109,905,946,504,120,4853,1353,-160,1000,131,1,0
116,2488,5,20,1000,65,31,42,607,894,940,133,130,4365,865,-127,1000,577,1,0
