seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,distance_ticks,left_speed,right_speed,dl,dr,heading_ticks,udp_loop_ms,udp_send_cost_ms,udp_overrun
2,63,10,20,1000,1000,1000,983,1000,1000,1000,728,866,3351,-149,-149,892,1000,1,1,0,0,0,0,0,0,3,1,0
3,92,10,20,1000,1000,899,975,1000,1000,1000,773,960,3445,-55,10,974,1000,1,1,0,0,0,0,0,0,2,1,0
4,113,10,20,1000,1000,908,970,1000,1000,1000,788,970,3452,-48,-4,975,1000,1,1,0,0,0,0,0,0,2,1,0
5,133,10,20,1000,1000,831,899,1000,1000,1000,698,885,3420,-80,-22,954,1000,1,1,0,0,0,0,0,0,3,1,0
6,162,10,20,1000,701,498,565,874,1000,1000,396,532,3476,-24,58,1000,1000,1,0,0,0,0,0,0,0,3,1,0
7,183,10,20,1000,0,0,0,33,880,831,65,0,4485,985,689,1000,344,1,0,0,0,0,0,0,0,2,1,0
8,203,10,20,1000,45,15,0,51,853,908,55,0,4515,1015,12,1000,470,1,0,0,0,0,0,0,0,3,1,0
9,233,10,20,1000,0,0,0,51,918,911,60,6,4498,998,87,1000,463,1,0,0,0,0,0,0,0,3,1,0
10,253,10,20,1000,30,39,27,92,918,941,100,52,4582,1082,9,1000,436,1,0,0,0,0,0,0,0,3,1,0
11,283,10,20,1000,33,45,38,411,908,887,105,0,4296,796,-116,1000,611,1,0,0,0,0,0,0,0,3,1,0
12,303,10,20,1000,60,73,48,976,891,150,0,0,3590,90,-272,990,1000,1,0,0,0,0,0,0,0,3,1,0
13,332,10,20,1000,115,97,312,974,897,85,75,88,3104,-396,-170,759,1000,1,0,0,0,0,0,0,0,3,1,0
14,353,10,20,1000,33,30,747,912,489,44,40,3,2879,-621,-189,638,1000,1,0,0,0,0,0,0,0,2,1,0
15,373,10,20,1000,73,33,923,899,204,41,35,0,2645,-855,-101,535,1000,1,0,0,0,0,0,0,0,3,1,0
16,403,10,20,1000,67,61,875,953,333,58,35,49,2749,-751,96,630,1000,1,0,0,0,0,0,0,0,3,2,0
18,444,10,20,1000,24,0,24,907,887,64,45,52,3494,-6,-6,996,1000,1,0,0,0,0,0,0,0,3,1,0
19,474,10,20,1000,0,42,35,881,867,168,55,49,3627,127,22,1000,930,1,0,0,0,0,0,0,0,3,1,0
20,494,10,20,1000,21,0,0,794,908,448,80,68,3839,339,123,1000,798,1,0,0,0,0,0,0,0,3,1,0
21,524,10,20,1000,15,0,32,565,942,734,35,84,4075,575,94,1000,682,1,0,0,0,0,0,0,0,3,1,0
22,544,10,20,1000,21,36,10,645,935,663,65,98,4008,508,-51,1000,747,1,0,0,0,0,0,0,0,3,1,0
23,574,10,20,1000,64,76,59,930,901,165,60,55,3616,116,-43,1000,949,1,0,0,0,0,0,0,0,3,1,0
24,594,10,20,1000,125,85,92,928,928,165,150,111,3738,238,103,1000,855,1,0,0,0,0,0,0,0,3,1,0
25,623,10,20,1000,73,91,127,984,965,150,110,147,3828,328,258,1000,776,1,0,0,0,0,0,0,0,3,1,0
26,643,10,20,1000,118,113,366,961,969,174,150,140,3461,-39,-233,931,1000,1,0,0,0,0,0,0,0,2,1,0
27,664,10,20,1000,91,55,942,982,401,123,55,117,3067,-433,-343,703,1000,1,0,0,0,0,0,0,0,2,1,0
28,684,10,20,830,70,712,937,943,136,61,80,84,2184,-1316,-729,0,1000,1,0,0,0,0,0,0,0,3,1,0
