seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,distance_ticks,left_speed,right_speed,dl,dr,heading_ticks,udp_loop_ms,udp_send_cost_ms,udp_overrun
3,82,10,20,1000,1000,873,1000,1000,1000,1000,736,907,3411,-89,29,960,1000,1,1,0,0,0,0,0,0,3,1,0
4,102,10,20,1000,1000,953,1000,1000,1000,1000,821,974,3445,-55,12,974,1000,1,1,0,0,0,0,0,0,3,1,0
5,132,10,20,1000,1000,910,1000,1000,1000,1000,757,936,3420,-80,-16,956,1000,1,1,0,0,0,0,0,0,3,1,0
6,162,10,20,1000,870,618,748,1000,1000,817,484,643,3333,-167,-26,908,1000,1,0,0,0,0,0,0,0,3,1,0
7,182,10,20,1000,169,132,164,987,955,165,89,114,3300,-200,-79,880,1000,1,0,0,0,0,0,0,0,3,1,0
8,211,10,20,1000,77,70,82,908,859,17,5,60,3486,-14,-20,989,1000,1,0,0,0,0,0,0,0,3,1,0
9,232,10,20,1000,95,64,140,977,958,124,57,101,3639,139,314,1000,862,1,0,0,0,0,0,0,0,2,1,0
10,252,10,20,1000,67,70,106,931,938,127,10,70,3516,16,36,1000,985,1,0,0,0,0,0,0,0,3,1,0
11,281,10,20,1000,74,73,98,939,920,104,47,44,3574,74,-22,1000,967,1,0,0,0,0,0,0,0,3,1,0
12,302,10,20,1000,61,89,92,921,920,113,5,22,3586,86,79,1000,939,1,0,0,0,0,0,0,0,2,1,0
13,322,10,20,1000,108,107,116,967,969,211,0,70,3297,-203,-182,857,1000,1,0,0,0,0,0,0,0,3,1,0
14,352,10,20,1000,108,92,100,941,945,191,36,47,3395,-105,-205,903,1000,1,0,0,0,0,0,0,0,3,1,0
15,372,10,20,1000,104,110,135,928,927,220,26,117,3459,-41,-166,944,1000,1,0,0,0,0,0,0,0,3,1,0
16,392,10,20,1000,101,141,127,928,945,249,42,98,3293,-207,-74,877,1000,1,0,0,0,0,0,0,0,3,1,0
17,422,10,20,1000,46,9,50,868,879,272,42,28,3704,204,89,1000,876,1,0,0,0,0,0,0,0,3,1,0
18,442,10,20,1000,0,0,0,837,907,281,5,0,3725,225,3,1000,883,1,0,0,0,0,0,0,0,3,1,0
19,471,10,20,1000,3,15,0,857,907,292,78,73,3725,225,-35,1000,891,1,0,0,0,0,0,0,0,3,1,0
20,492,10,20,1000,0,0,2,870,893,266,52,95,3702,202,-194,1000,936,1,0,0,0,0,0,0,0,2,1,0
21,512,10,20,1000,40,43,42,870,924,214,63,79,3673,173,-7,1000,912,1,0,0,0,0,0,0,0,3,1,0
22,541,10,20,1000,21,92,68,928,920,101,47,105,3750,250,158,1000,837,1,0,0,0,0,0,0,0,3,1,0
23,562,10,20,1000,64,36,98,939,927,136,105,111,3882,382,470,1000,703,1,0,0,0,0,0,0,0,2,1,0
24,591,10,20,1000,86,95,119,961,920,78,26,70,3400,-100,-384,868,1000,1,0,0,0,0,0,0,0,3,1,0
25,612,10,20,1000,80,55,400,1000,945,159,63,140,3538,38,-270,964,1000,1,0,0,0,0,0,0,0,2,1,0
26,632,10,20,1000,67,55,915,944,319,113,0,114,3035,-465,-75,743,1000,1,0,0,0,0,0,0,0,3,1,0
27,662,10,20,830,854,956,933,467,130,92,0,89,1420,-2080,-590,-250,1000,1,0,0,0,0,0,0,0,3,1,0
28,692,10,20,680,956,941,721,93,58,63,0,92,910,-2590,-76,-420,1000,1,0,0,0,0,0,0,0,3,1,0
29,712,10,20,830,962,966,360,111,113,104,94,114,1387,-2113,1,-250,1000,1,0,0,0,0,0,0,0,3,1,0
30,742,10,20,830,969,972,657,180,99,127,47,121,1423,-2077,98,-229,1000,1,0,0,0,0,0,0,0,3,1,0
31,762,10,20,830,1000,1000,915,182,92,113,42,149,1483,-2017,86,-200,1000,1,0,0,0,0,0,0,0,3,1,0
32,782,10,20,830,978,972,973,266,106,139,57,105,1573,-1927,-69,-186,1000,1,0,0,0,0,0,0,0,3,1,0
33,812,10,20,830,873,975,962,860,137,98,47,124,1754,-1746,147,-47,1000,1,0,0,0,0,0,0,0,3,1,0
34,832,10,20,1000,188,975,978,984,226,150,52,133,2330,-1170,55,404,1000,1,0,0,0,0,0,0,0,3,1,0
35,852,10,20,1000,234,246,994,1000,611,144,94,162,2810,-690,484,743,1000,1,0,0,0,0,0,0,0,3,1,0
36,882,10,20,1000,265,236,1000,1000,914,234,126,187,3060,-440,-5,771,1000,1,0,0,0,0,0,0,0,3,1,0
37,902,10,20,1000,141,110,917,959,725,78,100,57,2818,-682,-164,611,1000,1,0,0,0,0,0,0,0,3,1,0
38,931,10,20,1000,126,86,920,964,412,107,52,38,2734,-766,-82,585,1000,1,0,0,0,0,0,0,0,3,1,0
39,952,10,20,1000,89,80,941,949,288,75,15,63,2700,-800,165,619,1000,1,0,0,0,0,0,0,0,2,1,0
40,972,10,20,1000,135,144,920,951,295,63,47,79,2460,-1040,-19,456,1000,1,0,0,0,0,0,0,0,3,1,0
41,1002,10,20,1000,95,101,830,901,549,92,73,121,3000,-500,396,824,1000,1,0,0,0,0,0,0,0,3,2,0
