seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,20,10,20,740,940,945,932,944,933,969,951,965,3520,20,20,747,733,1,1
1,42,10,20,740,972,968,976,979,967,989,971,981,3506,6,-12,740,740,1,1
2,62,10,20,740,1000,1000,1000,1000,1000,1000,1000,1000,3500,0,0,740,740,1,1
3,82,10,20,740,561,449,635,1000,1000,868,828,912,3903,403,403,897,583,1,0
4,102,10,20,740,107,78,136,961,969,85,74,119,3431,-69,-384,660,820,1,0
5,122,10,20,740,130,82,155,1000,1000,90,97,100,3358,-142,-111,690,790,1,0
6,142,10,20,740,126,109,190,996,991,103,88,95,3163,-337,-22,663,817,1,0
7,162,10,20,740,121,105,178,1000,969,98,97,103,3254,-246,-127,665,815,1,0
8,182,10,20,740,94,58,146,979,989,80,85,95,3398,-102,103,736,744,1,0
9,202,10,20,740,169,70,117,971,965,63,51,87,3153,-347,-119,644,836,1,0
10,222,10,20,740,82,62,136,958,969,123,80,87,3493,-7,-5,738,742,1,0
11,242,10,20,740,84,31,85,958,943,85,63,82,3496,-4,254,782,698,1,0
12,262,10,20,740,100,82,144,960,1000,85,80,100,3414,-86,-76,709,771,1,0
13,282,10,20,740,66,35,100,931,959,78,54,58,3431,-69,217,761,719,1,0
14,302,10,20,740,96,19,85,939,948,106,83,39,3582,82,70,769,711,1,0
15,322,10,20,740,68,50,96,921,961,113,77,50,3594,94,92,776,704,1,0
16,342,10,20,740,73,35,96,931,937,121,57,39,3592,92,6,761,719,1,0
17,362,10,20,740,71,27,92,931,941,136,77,71,3604,104,-107,744,736,1,0
18,382,10,20,740,57,46,81,923,939,103,88,39,3582,82,3,758,722,1,0
19,402,10,20,740,50,19,58,948,952,93,74,39,3501,1,160,767,713,1,0
20,422,10,20,740,48,31,71,910,933,65,94,39,3506,6,78,754,726,1,0
21,442,10,20,740,64,39,106,942,941,53,63,45,3419,-81,-78,709,771,1,0
22,462,10,20,740,71,27,88,918,924,55,85,58,3501,1,174,769,711,1,0
23,482,10,20,740,80,62,81,952,941,75,63,53,3497,-3,250,781,699,1,0
24,502,10,20,740,52,23,83,929,937,53,63,34,3502,2,10,742,738,1,0
25,522,10,20,740,29,11,54,908,928,35,54,31,3505,5,-7,740,740,1,0
26,542,10,20,740,48,0,50,929,903,63,65,23,3492,-8,-14,736,744,1,0
27,562,10,20,740,4,0,29,900,900,20,34,15,3500,0,-3,740,740,1,0
28,582,10,20,740,2,0,10,883,907,40,40,31,3506,6,-6,740,740,1,0
29,602,10,20,740,0,0,20,899,905,40,37,5,3501,1,-4,740,740,1,0
30,622,10,20,740,0,0,29,912,954,53,40,45,3511,11,10,744,736,1,0
31,642,10,20,740,34,0,35,902,915,55,28,31,3503,3,-2,740,740,1,0
32,662,10,20,740,57,0,48,895,922,35,45,29,3507,7,8,742,738,1,0
33,682,10,20,740,41,7,58,902,922,45,22,15,3505,5,-1,740,740,1,0
34,702,10,20,740,59,19,50,927,915,20,25,23,3496,-4,-9,738,742,1,0
35,722,10,20,740,27,27,60,900,924,45,25,26,3506,6,-4,740,740,1,0
36,743,10,20,740,22,0,54,916,892,68,17,21,3493,-7,-7,738,742,1,0
37,763,10,20,740,18,23,64,927,926,80,51,45,3499,-1,1,740,740,1,0
38,783,10,20,740,45,19,69,910,933,103,0,0,3585,85,78,771,709,1,0
39,803,10,20,740,48,27,39,880,924,101,20,0,3591,91,3,760,720,1,0
40,823,10,20,740,57,23,58,935,956,83,25,23,3505,5,-82,728,752,1,0
41,844,10,20,740,34,0,96,899,946,47,0,45,3512,12,-1,742,738,1,0
42,864,10,20,740,61,11,731,912,933,7,17,39,3078,-422,-241,607,873,1,0
43,884,10,20,740,45,304,949,944,668,37,28,82,2689,-811,-304,510,970,1,0
44,904,10,20,740,646,941,937,923,116,50,17,116,1864,-1636,-361,319,1000,1,0
45,924,10,20,740,883,925,924,740,10,0,5,45,1438,-2062,-56,277,1000,1,0
46,944,10,20,740,919,960,953,129,10,12,0,21,1098,-2402,-139,188,1000,1,0
47,974,10,20,740,919,921,337,11,0,0,14,23,732,-2768,-179,101,1000,1,0
48,1006,10,20,740,917,375,83,32,23,10,20,34,290,-3210,-335,-23,1000,1,0
49,1033,10,20,740,933,214,54,9,40,20,2,37,186,-3314,11,13,1000,1,0
50,1053,10,20,740,905,539,73,30,32,32,37,53,373,-3127,126,74,1000,1,0
51,1073,10,20,740,933,906,144,22,32,47,0,47,602,-2898,149,128,1000,1,0
52,1103,10,20,740,951,937,626,30,51,27,0,23,870,-2630,189,194,1000,1,0
53,1123,10,20,740,839,937,939,72,45,106,48,74,1185,-2315,188,263,1000,1,0
54,1143,10,20,740,80,949,968,521,51,42,20,76,1824,-1676,366,434,1000,1,0
55,1173,10,20,740,59,347,937,958,84,53,40,92,2272,-1228,223,508,972,1,0
56,1193,10,20,740,55,35,932,914,163,40,11,82,2617,-883,110,565,915,1,0
57,1223,10,20,740,13,50,857,948,601,0,11,55,2893,-607,105,625,855,1,0
58,1243,10,20,740,50,23,681,923,823,42,2,42,3058,-442,54,652,828,1,0
59,1264,10,20,740,29,0,480,920,859,45,14,18,3167,-333,43,675,805,1,0
60,1284,10,20,740,27,11,343,921,894,17,0,31,3255,-245,57,696,784,1,0
61,1313,10,20,740,29,54,251,908,937,45,20,39,3327,-173,15,705,775,1,0
62,1333,10,20,740,84,78,295,927,950,60,34,50,3301,-199,-34,691,789,1,0
63,1353,10,20,740,38,42,276,927,931,101,83,74,3383,-117,109,733,747,1,0
64,1373,10,20,740,89,93,289,961,943,68,65,45,3298,-202,-9,695,785,1,0
65,1393,10,20,740,84,89,218,969,933,70,40,31,3337,-163,15,707,773,1,0
66,1413,10,20,740,116,82,218,961,976,88,42,76,3180,-320,-21,667,813,1,0
67,1433,10,20,740,121,101,176,980,974,103,65,84,3178,-322,-17,667,813,1,0
68,1453,10,20,740,126,85,134,950,954,73,42,58,3204,-296,16,678,802,1,0
69,1473,10,20,740,105,46,106,952,920,70,60,66,3239,-261,-10,681,799,1,0
70,1493,10,20,740,55,7,69,942,926,70,42,63,3495,-5,3,740,740,1,0
71,1513,10,20,740,48,31,73,927,920,55,42,37,3498,-2,-5,739,741,1,0
72,1533,10,20,740,48,23,48,937,937,88,5,45,3500,0,-6,739,741,1,0
73,1553,10,20,740,45,19,46,946,924,60,17,42,3494,-6,-7,738,742,1,0
74,1573,10,20,740,38,3,35,923,915,55,34,23,3497,-3,-15,737,743,1,0
