seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
2,66,5,20,1000,1000,764,1000,1000,1000,916,628,813,3342,-158,18,925,1000,1,1
3,87,5,20,1000,1000,888,1000,1000,1000,1000,742,930,3419,-81,14,963,1000,1,1
4,108,5,20,1000,1000,938,1000,1000,1000,1000,767,984,3437,-63,1,969,1000,1,1
5,128,5,20,1000,1000,876,1000,1000,1000,1000,717,933,3416,-84,-6,957,1000,1,1
6,148,5,20,1000,963,718,928,1000,1000,883,544,762,3322,-178,-15,908,1000,1,1
8,189,5,20,1000,0,0,0,843,832,0,9,15,3496,-4,-5,997,1000,1,0
9,213,5,20,1000,129,114,150,974,972,158,128,167,3564,64,12,1000,966,1,0
10,233,5,20,1000,30,46,79,911,916,71,69,72,3501,1,-116,978,1000,1,0
14,319,5,20,1000,80,117,104,967,933,235,59,85,3452,-48,-120,952,1000,1,0
15,343,5,20,1000,73,86,84,873,937,331,94,94,3746,246,16,1000,874,1,0
16,364,5,20,1000,83,95,68,823,919,426,94,50,3816,316,0,1000,842,1,0
17,384,5,20,1000,55,18,87,818,923,504,84,94,3860,360,32,1000,814,1,0
18,406,5,20,1000,6,12,16,772,923,477,64,82,3864,364,0,1000,818,1,0
19,426,5,20,1000,6,21,0,800,874,310,103,37,3863,363,68,1000,805,1,0
21,471,5,20,1000,0,9,8,888,902,104,84,56,3586,86,84,1000,941,1,0
22,491,5,20,1000,15,3,21,883,877,80,118,98,3655,155,166,1000,890,1,0
23,511,5,20,1000,33,21,54,916,884,20,64,82,3491,-9,-25,991,1000,1,0
24,531,5,20,1000,107,139,126,931,912,122,99,113,3360,-140,91,949,1000,1,0
25,556,5,20,1000,120,99,101,959,944,86,108,117,3542,42,-12,1000,982,1,0
26,580,5,20,1000,206,145,167,989,944,125,69,104,3199,-301,-144,821,1000,1,0
27,601,5,20,1000,46,89,235,959,954,77,64,69,3334,-166,-236,870,1000,1,0
28,621,5,20,1000,153,139,945,969,664,158,118,136,3059,-441,106,801,1000,1,0
29,646,5,20,760,135,965,942,901,80,20,19,60,1886,-1614,-129,0,1000,1,0
30,666,5,20,620,978,959,958,138,38,92,69,142,1348,-2152,-121,0,1000,1,0
31,686,5,20,620,956,969,191,63,17,92,44,113,960,-2540,146,0,1000,1,0
