seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
4,108,5,20,1000,1000,876,1000,1000,1000,1000,720,926,3413,-87,-8,954,1000,1,1
5,128,5,20,1000,1000,793,894,1000,1000,1000,642,833,3387,-113,-8,940,1000,1,1
6,148,5,20,1000,794,580,659,1000,1000,933,455,603,3405,-95,16,954,1000,1,0
7,168,5,20,1000,16,18,5,664,871,638,112,67,4086,586,407,1000,610,1,0
8,188,5,20,1000,97,40,22,319,902,864,107,92,4346,846,156,1000,528,1,0
9,208,5,20,1000,71,58,62,301,937,936,127,115,4510,1010,133,1000,447,1,0
10,228,5,20,1000,68,92,45,761,954,668,107,102,4164,664,-112,1000,679,1,0
11,248,5,20,1000,42,58,34,947,975,126,88,79,3599,99,-77,1000,965,1,0
12,268,5,20,1000,55,111,96,976,937,141,88,73,3460,-40,-247,928,1000,1,0
13,293,5,20,1000,13,37,522,989,794,18,73,60,3118,-382,-157,769,1000,1,0
14,314,5,20,1000,133,151,954,1000,355,141,112,95,2760,-740,-317,549,1000,1,0
15,334,5,20,1000,39,83,943,947,125,39,68,38,2594,-906,12,532,1000,1,0
16,354,5,20,1000,65,70,943,939,296,60,78,19,2702,-798,79,602,1000,1,0
17,374,5,20,1000,13,61,491,976,874,75,53,83,3163,-337,-269,769,1000,1,0
18,394,5,20,1000,84,101,116,992,951,150,88,121,3582,82,-212,999,1000,1,0
19,414,5,20,1000,81,117,82,960,912,105,93,99,3424,-76,-18,957,1000,1,0
20,434,5,20,1000,52,67,65,916,926,228,122,86,3797,297,185,1000,807,1,0
21,454,5,20,1000,29,89,51,761,930,545,132,51,4020,520,40,1000,722,1,0
22,474,5,20,1000,0,49,0,620,930,677,102,44,4112,612,91,1000,663,1,0
23,494,5,20,1000,39,61,22,853,909,490,142,70,3967,467,-12,1000,760,1,0
24,514,5,20,1000,35,37,36,939,930,180,107,57,3747,247,-57,1000,884,1,0
25,534,5,20,1000,100,129,68,942,982,141,156,146,3677,177,215,1000,863,1,0
26,554,5,20,1000,78,175,127,965,902,141,127,83,3446,-54,-54,961,1000,1,0
27,574,5,20,1000,35,30,8,942,930,33,127,35,3655,155,161,1000,886,1,0
28,598,5,20,1000,48,61,53,981,874,39,107,67,3609,109,115,1000,920,1,0
29,619,5,20,1000,146,129,178,1000,965,180,171,146,3531,31,1,1000,984,1,0
30,639,5,20,1000,45,83,738,979,885,75,39,57,3056,-444,57,782,1000,1,0
31,659,5,20,1000,61,182,960,934,181,93,88,92,2493,-1007,-267,421,1000,1,0
32,687,5,20,830,459,932,971,908,128,36,102,63,1920,-1580,-84,-9,1000,1,0
33,710,5,20,680,912,984,940,759,48,21,53,57,1430,-2070,-166,-250,1000,1,0
34,734,5,20,830,970,975,991,979,121,90,98,76,1580,-1920,-131,-195,1000,1,0
35,758,5,20,830,957,1000,963,1000,365,78,78,111,1856,-1644,212,20,1000,1,0
36,781,5,20,830,394,972,977,981,878,93,73,47,2232,-1268,-34,164,1000,1,0
37,801,5,20,1000,130,941,1000,1000,930,144,112,150,2746,-754,81,625,1000,1,0
38,821,5,20,1000,241,959,1000,1000,623,219,132,207,2690,-810,-57,567,1000,1,0
39,841,5,20,1000,100,987,1000,973,222,168,88,169,2436,-1064,-150,416,1000,1,0
40,861,5,20,830,26,944,951,921,104,27,68,99,2063,-1437,-16,80,1000,1,0
41,884,5,20,830,74,962,994,861,114,75,14,111,2224,-1276,331,236,1000,1,0
42,907,5,20,1000,9,496,951,939,128,69,151,60,2488,-1012,189,514,1000,1,0
43,927,5,20,1000,58,64,963,958,369,75,137,70,2924,-576,247,753,1000,1,0
44,951,5,20,1000,188,209,835,1000,954,198,161,210,3227,-273,-57,847,1000,1,0
45,972,5,20,1000,195,234,642,1000,979,240,156,258,3341,-159,22,922,1000,1,0
46,1006,5,20,1000,0,43,676,905,864,75,102,86,3193,-307,-161,807,1000,1,0
47,1026,5,20,1000,65,67,880,984,721,102,142,92,3166,-334,-287,767,1000,1,0
48,1046,5,20,1000,123,129,960,1000,327,144,127,150,3003,-497,-50,732,1000,1,0
49,1066,5,20,1000,130,148,977,979,188,108,151,127,2893,-607,-187,646,1000,1,0
50,1086,5,20,1000,87,126,1000,973,195,57,44,86,2539,-961,132,529,1000,1,0
51,1106,5,20,1000,143,160,957,971,278,150,151,124,2938,-562,-177,671,1000,1,0
52,1126,5,20,1000,0,52,875,921,411,57,93,79,2789,-711,-246,579,1000,1,0
53,1146,5,20,1000,48,37,511,942,839,129,93,89,3242,-258,-103,845,1000,1,0
54,1166,5,20,1000,257,114,190,989,982,189,137,150,3392,-108,-173,908,1000,1,0
55,1190,5,20,1000,198,77,107,971,979,117,107,150,3545,45,-159,991,1000,1,0
56,1211,5,20,1000,3,74,82,952,968,114,98,134,3798,298,303,1000,782,1,0
57,1235,5,20,1000,52,52,85,960,989,108,107,130,3891,391,-49,1000,807,1,0
58,1256,5,20,1000,48,74,167,960,965,123,117,146,3798,298,69,1000,831,1,0
59,1276,5,20,1000,22,104,474,994,898,135,107,143,3483,-17,-213,947,1000,1,0
61,1321,5,20,1000,71,86,971,939,264,114,137,105,3139,-361,160,846,1000,1,0
62,1341,5,20,1000,87,89,963,950,153,111,161,86,2955,-545,56,729,1000,1,0
63,1361,5,20,1000,9,55,920,981,216,72,161,130,3124,-376,137,834,1000,1,0
