seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
5,134,10,20,1000,1000,1000,1000,1000,1000,1000,896,1000,3467,-33,0,982,1000,1,1
6,154,10,20,1000,1000,939,1000,1000,1000,1000,803,989,3451,-49,-13,971,1000,1,1
7,174,10,20,1000,1000,773,878,1000,1000,1000,642,798,3379,-121,-45,924,1000,1,1
8,194,10,20,1000,603,459,528,1000,1000,659,326,426,3348,-152,-17,913,1000,1,0
9,214,10,20,1000,36,33,0,883,859,152,20,0,3614,114,298,1000,872,1,0
10,234,10,20,1000,120,72,83,974,938,286,67,46,3496,-4,-142,967,1000,1,0
11,254,10,20,1000,132,69,78,950,941,250,67,77,3459,-41,172,1000,985,1,0
12,274,10,20,1000,101,54,121,916,969,250,82,0,3443,-57,128,997,1000,1,0
13,294,10,20,1000,73,138,75,896,945,253,82,26,3526,26,25,1000,981,1,0
14,314,10,20,1000,172,93,129,893,962,405,51,23,3440,-60,111,992,1000,1,0
15,334,10,20,1000,61,87,78,784,965,573,56,3,3909,409,175,1000,737,1,0
16,354,10,20,1000,30,27,97,605,893,716,41,0,4050,550,54,1000,686,1,0
17,374,10,20,1000,0,21,61,631,945,689,108,53,4115,615,17,1000,659,1,0
18,395,10,20,1000,73,54,67,872,931,328,88,40,3744,244,-153,1000,900,1,0
19,415,10,20,1000,21,0,72,885,931,68,41,43,3512,12,-96,986,1000,1,0
20,435,10,20,1000,55,36,59,932,938,80,41,46,3501,1,-4,1000,1000,1,0
21,455,10,20,1000,6,3,210,896,904,47,31,33,3345,-155,-142,884,1000,1,0
22,475,10,20,1000,0,9,708,903,599,29,46,67,2950,-550,-205,653,1000,1,0
23,495,10,20,1000,0,0,878,903,229,62,51,73,2677,-823,129,576,1000,1,0
24,515,10,20,1000,3,0,900,966,226,89,46,73,2677,-823,-137,518,1000,1,0
25,536,10,20,1000,61,54,800,940,513,47,51,40,2872,-628,141,686,1000,1,0
26,556,10,20,1000,73,93,398,924,873,59,98,53,3216,-284,313,913,1000,1,0
27,576,10,20,1000,104,120,102,981,928,119,62,73,3217,-283,7,846,1000,1,0
28,597,10,20,1000,141,178,167,968,996,223,155,157,3532,32,214,1000,936,1,0
29,617,10,20,1000,92,66,94,857,993,537,119,147,4135,635,527,1000,535,1,0
30,637,10,20,1000,144,102,159,633,1000,826,103,130,3867,367,-139,1000,829,1,0
31,657,10,20,1000,92,54,129,864,976,549,88,63,3772,272,52,1000,839,1,0
32,677,10,20,1000,89,21,150,942,952,101,51,46,3468,-32,-190,941,1000,1,0
33,697,10,20,1000,221,241,1000,1000,657,164,98,114,2792,-708,-189,570,1000,1,0
34,720,10,20,1000,941,1000,978,849,167,86,56,80,1568,-1932,-689,-214,1000,1,0
35,746,10,20,1000,950,1000,415,119,102,104,82,57,1157,-2343,0,-288,1000,1,0
36,766,10,20,1000,953,731,180,85,99,104,113,104,1380,-2120,-30,-172,1000,1,0
37,786,10,20,1000,966,413,142,80,109,95,88,100,1059,-2441,193,-300,1000,1,0
38,806,10,20,1000,950,788,137,93,89,77,88,63,566,-2934,73,-597,1000,1,0
39,827,10,20,1000,956,942,549,111,92,53,41,53,927,-2573,300,-349,1000,1,0
40,847,10,20,1000,984,987,994,397,133,104,88,90,1449,-2051,156,-93,1000,1,0
41,867,10,20,1000,200,785,1000,992,256,200,62,134,2445,-1055,366,501,1000,1,0
42,897,10,20,1000,366,290,1000,1000,1000,355,212,248,3147,-353,38,815,1000,1,0
43,917,10,20,1000,326,283,997,1000,1000,328,243,268,3206,-294,22,844,1000,1,0
44,937,10,20,1000,227,175,970,1000,835,185,155,97,2906,-594,-199,630,1000,1,0
45,957,10,20,1000,135,99,927,948,448,77,93,6,2640,-860,-69,512,1000,1,0
46,977,10,20,1000,76,117,954,942,246,62,88,57,2583,-917,-64,482,1000,1,0
47,1006,10,20,1000,116,99,900,948,404,74,56,43,2643,-857,196,572,1000,1,0
48,1026,10,20,1000,61,81,576,945,873,89,56,63,3124,-376,242,847,1000,1,0
49,1046,10,20,1000,126,105,196,942,958,149,103,110,3454,-46,328,1000,954,1,0
50,1066,10,20,1000,80,87,78,922,982,92,67,63,3515,15,426,1000,899,1,0
51,1086,10,20,1000,156,145,164,979,969,173,139,104,3433,-67,-70,948,1000,1,0
52,1106,10,20,1000,221,172,250,961,989,214,98,127,3227,-273,-248,796,1000,1,0
53,1126,10,20,1000,101,105,123,1000,945,137,72,0,3241,-259,114,883,1000,1,0
54,1146,10,20,1000,166,172,183,987,941,158,93,100,3233,-267,136,884,1000,1,0
55,1166,10,20,1000,123,78,113,929,934,104,88,43,3299,-201,-202,846,1000,1,0
56,1186,10,20,1000,224,48,67,903,900,95,72,53,3112,-388,-67,772,1000,1,0
57,1215,10,20,1000,18,48,61,903,938,59,77,26,3509,9,226,1000,946,1,0
58,1236,10,20,1000,89,81,123,909,934,143,119,57,3652,152,-70,1000,932,1,0
59,1256,10,20,1000,138,102,113,916,976,143,113,50,3347,-153,-379,833,1000,1,0
60,1276,10,20,1000,70,93,59,929,952,143,103,60,3727,227,318,1000,806,1,0
61,1296,10,20,1000,98,90,102,940,982,155,67,57,3546,46,41,1000,966,1,0
62,1316,10,20,1000,129,141,140,981,955,167,103,60,3301,-199,-292,827,1000,1,0
63,1337,10,20,1000,40,72,134,940,938,77,72,33,3399,-101,16,948,1000,1,0
64,1357,10,20,1000,83,90,212,937,948,50,77,16,3350,-150,310,986,1000,1,0
65,1377,10,20,1000,55,66,188,958,938,92,82,16,3359,-141,132,952,1000,1,0
66,1397,10,20,1000,30,75,169,919,924,95,46,6,3375,-125,18,936,1000,1,0
67,1426,10,20,1000,132,108,177,992,931,161,93,73,3185,-315,-252,772,1000,1,0
68,1446,10,20,1000,123,132,169,966,969,128,98,83,3170,-330,-289,755,1000,1,0
69,1467,10,20,1000,120,99,169,961,976,197,155,157,3707,207,498,1000,777,1,0
70,1487,10,20,1000,83,81,126,927,931,104,88,100,3645,145,108,1000,897,1,0
71,1508,10,20,1000,80,99,126,935,989,149,155,77,3690,190,407,1000,806,1,0
72,1528,10,20,1000,55,48,70,903,924,98,82,50,3505,5,2,1000,997,1,0
73,1548,10,20,1000,24,27,45,906,917,101,20,0,3581,81,181,1000,916,1,0
74,1568,10,20,1000,52,87,40,914,907,86,103,43,3632,132,58,1000,915,1,0
75,1597,10,20,1000,98,87,51,937,938,116,72,80,3587,87,-1,1000,953,1,0
76,1617,10,20,1000,9,78,24,864,917,77,41,13,3514,14,-188,967,1000,1,0
77,1637,10,20,1000,0,45,29,867,938,44,25,33,3519,19,28,1000,984,1,0
78,1657,10,20,1000,21,42,10,901,910,65,56,0,3502,2,-12,999,1000,1,0
79,1677,10,20,1000,67,63,29,864,931,35,25,57,3518,18,5,1000,989,1,0
80,1697,10,20,1000,9,12,0,825,873,35,31,0,3514,14,-93,988,1000,1,0
81,1717,10,20,1000,89,108,107,927,924,444,25,63,3593,93,-55,1000,961,1,0
82,1737,10,20,1000,49,0,0,423,866,880,82,23,4210,710,219,1000,562,1,0
83,1757,10,20,1000,52,48,29,0,883,868,113,6,4586,1086,170,1000,366,1,0
84,1778,10,20,1000,33,60,56,20,873,850,341,70,4742,1242,117,1000,292,1,0
85,1798,10,20,1000,15,0,26,0,886,838,388,0,4764,1264,6,1000,304,1,0
86,1818,10,20,1000,61,18,21,10,880,847,181,36,4633,1133,-106,1000,401,1,0
87,1838,10,20,1000,18,3,8,64,886,853,72,16,4490,990,-120,1000,482,1,0
88,1858,10,20,1000,27,0,26,402,917,913,0,50,4228,728,-111,1000,625,1,0
89,1878,10,20,1000,126,120,121,807,965,889,77,137,3806,306,-373,1000,914,1,0
90,1898,10,20,1000,246,265,291,942,1000,958,155,177,3627,127,-17,1000,934,1,0
91,1918,10,20,1000,276,211,274,714,1000,1000,202,221,3760,260,78,1000,840,1,0
92,1947,10,20,1000,9,27,35,33,914,967,305,63,4721,1221,307,1000,261,1,0
93,1967,10,20,1000,89,54,70,54,931,988,958,83,5009,1509,65,1000,156,1,0
94,1987,10,20,1000,3,27,24,18,897,886,974,83,5027,1527,-13,1000,164,1,0
95,2007,10,20,1000,70,39,37,20,869,910,1000,0,5047,1547,20,1000,145,1,0
96,2027,10,20,1000,49,30,80,70,952,940,896,107,5054,1554,23,1000,141,1,0
97,2047,10,20,1000,27,45,75,98,948,958,238,33,4668,1168,-172,1000,396,1,0
98,2067,10,20,1000,21,33,29,688,938,892,51,57,4081,581,-207,1000,726,1,0
99,2087,10,20,1000,141,93,134,940,969,752,113,107,3850,350,-210,1000,854,1,0
100,2107,10,20,1000,61,81,148,916,979,725,113,130,4042,542,371,1000,621,1,0
101,2127,10,20,1000,40,75,75,898,914,811,93,124,4103,603,14,1000,666,1,0
102,2148,10,20,1000,73,57,56,758,952,946,145,127,4293,793,212,1000,518,1,0
103,2168,10,20,1000,76,30,102,350,941,982,181,134,4443,943,193,1000,439,1,0
105,2208,10,20,1000,92,78,115,135,904,940,678,147,4812,1312,-93,1000,299,1,0
106,2228,10,20,1000,86,60,113,142,941,994,481,124,4701,1201,-180,1000,380,1,0
107,2248,10,20,1000,76,36,86,277,958,1000,217,114,4584,1084,87,1000,385,1,0
108,2269,10,20,1000,83,60,78,698,976,1000,155,137,4344,844,-20,1000,541,1,0
109,2290,10,20,1000,36,30,64,862,955,964,119,60,4117,617,-20,1000,666,1,0
110,2310,10,20,1000,76,66,67,880,941,901,51,100,4113,613,11,1000,661,1,0
111,2330,10,20,1000,120,99,159,735,893,895,103,43,3851,351,-70,1000,823,1,0
