wall_time,event_type,old_section_id,new_section_id,section_display_no,section_name,section_label_ko,section_type,profile_key,section_role,section_note,profile_label_ko,profile_base_speed,profile_curve_speed,profile_sharp_curve_speed,profile_min_run_speed,profile_kp,profile_kd,profile_max_correction,profile_reverse_allow,profile_reverse_pwm_mid,profile_reverse_pwm_high,profile_error_curve_threshold,profile_error_sharp_threshold,profile_d_error_curve_threshold,profile_d_error_sharp_threshold,profile_search_pwm,profile_line_loss_max_ms,cmd_seq,ack,status,rtt_ms,seq,t_ms,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count
2026-07-10T04:10:26.680,NEXT_SECTION,0,1,2,long_straight,긴 직진 구간,STRAIGHT,STRAIGHT,NORMAL,가장 높은 속도를 시도할 수 있는 긴 직진 구간.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,1,1,OK,49,175,4054,920,3495,-5,4,919,921,1,0,5
2026-07-10T04:10:32.691,NEXT_SECTION,1,2,3,short_s_1,짧은 S자,NARROW_S,NARROW_S,NORMAL,길이가 짧으므로 보수적으로 좁은 S자 profile 적용.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,2,1,OK,10,441,10064,1000,3492,-8,1,997,1000,1,0,6
2026-07-10T04:10:36.807,NEXT_SECTION,2,3,4,short_straight_1,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,직전 S자 이후 자세 안정 확인.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,3,1,OK,54,621,14170,760,3336,-164,119,703,817,1,0,14
2026-07-10T04:10:38.305,NEXT_SECTION,3,4,5,wide_s_1,넓은 S자,WIDE_S,WIDE_S,NORMAL,직진보다 감속하고 진동 억제.,넓은 S자,920,810,670,500,0.53,0.24,1050,True,-120,-260,1350,2350,900,1600,280,240,4,1,OK,46,688,15622,1000,3441,-59,-159,939,1000,1,0,16
2026-07-10T04:10:46.973,NEXT_SECTION,4,5,6,narrow_s_1,좁은 S자,NARROW_S,NARROW_S,NORMAL,완주 안정성 우선.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,5,1,OK,39,1062,24339,920,3258,-242,3,793,1000,1,0,32
2026-07-10T04:10:57.251,NEXT_SECTION,5,6,7,hairpin_u_1,헤어핀,HAIRPIN_U,HAIRPIN_U,NORMAL,큰 감속과 강한 조향 필요.,헤어핀,620,560,500,430,0.62,0.34,1200,True,-300,-460,1000,1900,650,1250,320,320,6,1,OK,12,1509,34649,760,2961,-539,106,485,1000,1,0,46
2026-07-10T04:10:57.349,NEXT_SECTION,6,7,8,middle_straight,중간 직진구간,STRAIGHT,STRAIGHT,NORMAL,헤어핀 탈출 후 자세가 안정되면 가속.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,7,1,OK,15,1513,34749,620,3502,2,-2,620,620,1,0,46
2026-07-10T04:10:57.891,NEXT_SECTION,7,8,9,wide_u_1,완만한 U턴,WIDE_U,WIDE_U,NORMAL,진입 감속 필요.,완만한 U턴,800,700,600,480,0.55,0.27,1100,True,-180,-320,1250,2250,850,1500,290,260,8,1,OK,39,1536,35262,1000,3607,107,38,1000,939,1,0,46
2026-07-10T04:11:06.379,NEXT_SECTION,8,9,10,short_straight_2,짧은 직진,STRAIGHT,STRAIGHT,NORMAL,다음 좁은 S자 진입 전 과속 주의.,직진,1000,900,740,520,0.5,0.2,950,False,0,0,1500,2500,1000,1800,260,220,9,1,OK,52,1903,43743,800,3017,-483,-38,525,1000,1,0,53
2026-07-10T04:11:12.003,NEXT_SECTION,9,10,11,half_narrow_s,좁은 S자 절반,NARROW_S,NARROW_S,NORMAL,짧지만 라인 이탈 위험이 있음.,좁은 S자,760,680,580,470,0.57,0.3,1150,True,-220,-380,1150,2100,750,1400,300,280,10,1,OK,51,2160,49373,1000,3387,-113,190,982,1000,1,0,58
