wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count
2026-07-10T05:26:30.040,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,68,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3805,153,980,2939,-561,-405,583,1000,1,0,9,0
2026-07-10T05:26:36.390,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,50,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,10173,408,1000,3500,0,38,1000,992,1,0,22,0
2026-07-10T05:26:40.087,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,27,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13895,558,930,2972,-528,-66,619,1000,1,0,25,0
2026-07-10T05:26:41.614,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,94,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15289,614,1000,3344,-156,247,969,1000,1,0,27,0
2026-07-10T05:26:50.017,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,55,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,23793,958,980,3969,469,381,1000,639,1,0,37,0
2026-07-10T05:26:59.678,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,68,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,33349,1343,700,954,-2546,65,-260,1000,1,0,44,0
2026-07-10T05:27:01.249,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,29,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,35023,1412,880,3483,-17,-10,869,891,1,0,45,0
2026-07-10T05:27:06.229,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,41,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,40005,1613,1000,3380,-120,-129,906,1000,1,0,56,0
2026-07-10T05:27:07.400,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,43,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,41171,1660,930,3093,-407,139,736,1000,1,0,56,0
2026-07-10T05:27:11.085,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,46,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,44847,1807,1000,3501,1,-71,985,1000,1,0,57,0
2026-07-10T05:27:12.755,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,63,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,46470,1873,830,1599,-1901,-156,-120,1000,1,0,58,0
